algorithm,feature_combo,name,train_time,coef_
MLR,1,mlr_1,0.0009968280792236,"1.613, 1.046"
MLR,2,mlr_2,0.0019950866699218,"1.572, 0.045, 1.048"
MLR,3,mlr_3,0.0009968280792236,"1.368, -0.314"
MLR,4,mlr_4,0.0009975433349609,"1.445, 1.077"
MLR,5,mlr_5,0.0019962787628173,"1.575, 1.069"
MLR,6,mlr_6,0.0009975433349609,"0.822, -0.991"
MLR,7,mlr_7,0.0009968280792236,"1.681, 1.031, -0.248"
MLR,8,mlr_8,0.0019938945770263,"1.123, 0.930, -0.003, 0.622"
MLR,9,mlr_9,0.0009968280792236,"0.974, 0.813, -0.008, 0.815"
MLR,10,mlr_10,0.0019965171813964,"1.657, 1.025, -0.244, -0.041"
MLR,11,mlr_11,0.0009973049163818,"1.608, -0.301"
MLR,12,mlr_12,0.0009968280792236,"1.358, 0.387, -0.204"
MLR,13,mlr_13,0.0009903907775878,"1.478, 0.558, -0.296"
MLR,14,mlr_14,0.0015041828155517578,"1.386, 0.482"
