algorithm,feature_combo,name,train_time,kernel,C,gamma
SVR,1,svr_1,0.098400592803955,rbf,5,0.5
SVR,2,svr_2,0.2655627727508545,rbf,100,0.1
SVR,3,svr_3,0.1426761150360107,rbf,50,0.05
SVR,4,svr_4,0.1469607353210449,rbf,50,0.05
SVR,5,svr_5,0.1302306652069091,rbf,50,0.05
SVR,6,svr_6,0.1639740467071533,rbf,100,0.05
SVR,7,svr_7,0.3280477523803711,rbf,100,0.1
SVR,8,svr_8,0.3905653953552246,rbf,100,0.1
SVR,9,svr_9,0.1924824714660644,rbf,100,0.05
SVR,10,svr_10,0.3905320167541504,rbf,100,0.1
SVR,11,svr_11,0.1492226123809814,rbf,100,0.05
SVR,12,svr_12,0.1521358489990234,rbf,5,0.1
SVR,13,svr_13,0.2084481716156005,rbf,100,0.05
SVR,14,svr_14,0.12588167190551758,rbf,5,0.5
