algorithm,feature_combo,name,st_num,dataset,MAE,RMSE,R2,WI
SVR,1,svr_1,17237,test,0.3945429880745446,0.5157140555295588,0.8700792445483402,0.8426687812432465
SVR,1,svr_1,17862,test,0.3564419342527897,0.4348083052183241,0.9205064975489023,0.8660486560977895
SVR,1,svr_1,17884,test,0.3570901541571818,0.4647522410988077,0.917207607993018,0.875379896177644
SVR,1,svr_1,17296,train,0.3315674798514402,0.4116113875226055,0.9360182634251584,0.8837459990391211
SVR,1,svr_1,17298,train,0.3771366450784895,0.4973856058889299,0.9251213374381524,0.8825369892026076
SVR,1,svr_1,17824,train,0.3051857948060588,0.3935568420121689,0.9687522487978544,0.9210777872718672
SVR,1,svr_1,17886,train,0.3760334678924747,0.4668252616137341,0.9333169856313176,0.882189175670391
SVR,1,svr_1,17924,train,0.3506462384579481,0.4703921144550916,0.9017521147278392,0.8655912267809781
SVR,1,svr_1,17860,train,0.2891719314711933,0.4000868970908388,0.9545004932229492,0.9135547457802566
SVR,1,svr_1,17186,train,0.4948281111474628,0.6399815668017331,0.8941677819817223,0.8607288883670363
SVR,1,svr_1,17227,train,0.3819718449652204,0.4692828511555309,0.9445489066368172,0.8933217482567762
SVR,2,svr_2,17237,test,0.3345273659597464,0.4281056260806465,0.9104712601509588,0.866601106128417
SVR,2,svr_2,17862,test,0.3194955742863405,0.4090562198349973,0.9296438652975876,0.8799331463729737
SVR,2,svr_2,17884,test,0.3527511337785735,0.4549956475732068,0.920647259601384,0.8768941613114607
SVR,2,svr_2,17296,train,0.324266133755507,0.3963542255089539,0.9406735658159074,0.8863059928492276
SVR,2,svr_2,17298,train,0.3284181350952486,0.4528166589956731,0.9379393321085744,0.8977108603680662
SVR,2,svr_2,17824,train,0.2845151886812375,0.361389222987894,0.9736516011741082,0.9264232850033042
SVR,2,svr_2,17886,train,0.3242047559117438,0.4070375680159568,0.9493037874779836,0.8984270475720958
SVR,2,svr_2,17924,train,0.3426426482620756,0.4531609290593862,0.908818220674294,0.8686591414527736
SVR,2,svr_2,17860,train,0.3207595330986015,0.4331919421109234,0.946659292557525,0.9041119266277164
SVR,2,svr_2,17186,train,0.4946460574117247,0.6598829244433727,0.8874833616421796,0.8607801280310369
SVR,2,svr_2,17227,train,0.3765250356324274,0.4883941834488694,0.93994050011957,0.8948429496355165
SVR,3,svr_3,17237,test,0.9577995046628868,1.132616379607099,0.3733482207634753,0.6180599631775608
SVR,3,svr_3,17862,test,0.5775123308054677,0.7114257111303345,0.7871885044497338,0.7829701126674186
SVR,3,svr_3,17884,test,0.8202687978962482,1.0201912675944027,0.6010571842910646,0.7137362048042519
SVR,3,svr_3,17296,train,0.741308100357768,0.9367841047071956,0.6685940610945379,0.7400829760207107
SVR,3,svr_3,17298,train,0.5699091789063407,0.703484831746813,0.8502105836350109,0.8224960398068017
SVR,3,svr_3,17824,train,1.3289294506948723,1.552464168666254,0.5137641180298582,0.6563337658783478
SVR,3,svr_3,17886,train,0.5807733371086603,0.7418428645859708,0.8316045422929033,0.8180444257344829
SVR,3,svr_3,17924,train,1.123245255308194,1.3742101825386914,0.1614876369621033,0.5694406492024375
SVR,3,svr_3,17860,train,0.5175785549088192,0.6640072395169617,0.8746732836862907,0.8452747141461848
SVR,3,svr_3,17186,train,0.8852645905811928,1.234911406135396,0.6059470606130422,0.75083916850714
SVR,3,svr_3,17227,train,0.9698921440621072,1.1456530060644687,0.6695186596713214,0.7291255895641904
SVR,4,svr_4,17237,test,0.4377664606811462,0.5697604833522618,0.8414211549049602,0.8254326325100421
SVR,4,svr_4,17862,test,0.8102437427165687,1.0446127263716072,0.5411755048585956,0.6955093444525269
SVR,4,svr_4,17884,test,0.4052282531990023,0.5325621684328987,0.8912853506478183,0.8585802873657977
SVR,4,svr_4,17296,train,0.4315007371274644,0.5473462139252897,0.8868627814625326,0.8487074572840732
SVR,4,svr_4,17298,train,0.8867400102396803,1.0773775143793038,0.6486762840993985,0.7238158827668792
SVR,4,svr_4,17824,train,0.6720655091050816,0.8680228488144833,0.8479921038102459,0.8262012912149502
SVR,4,svr_4,17886,train,0.7559793376121863,0.9431596898439626,0.7278069781900574,0.7631526006464124
SVR,4,svr_4,17924,train,0.4995285340649527,0.6571184602859348,0.8082698192962092,0.8085220655814374
SVR,4,svr_4,17860,train,0.5226140091963749,0.736375040136978,0.8458668156585462,0.8437694120105831
SVR,4,svr_4,17186,train,0.4644378330247443,0.5907729579099992,0.9098171028922928,0.8692823389928934
SVR,4,svr_4,17227,train,0.6603038736874676,0.8386082548252524,0.822924281979731,0.8155883377460157
SVR,5,svr_5,17237,test,0.3564798260670174,0.4483654528496985,0.9017969705213452,0.8578471619251725
SVR,5,svr_5,17862,test,0.556131509869874,0.7001496056295222,0.7938811705208862,0.7910050530681856
SVR,5,svr_5,17884,test,0.3274444268306583,0.4123239447770957,0.934833475839826,0.8857258930479313
SVR,5,svr_5,17296,train,0.345045505173623,0.4246579958896716,0.9318979990443836,0.879020341476269
