Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_KURESEL_GUNES_RADYASYONU_kws
17186|MAN?SA|2005|1|39.8
17186|MAN?SA|2005|2|59.8
17186|MAN?SA|2005|3|111.4
17186|MAN?SA|2005|4|153.4
17186|MAN?SA|2005|5|179.6
17186|MAN?SA|2005|6|224.1
17186|MAN?SA|2005|7|216.4
17186|MAN?SA|2005|8|197.8
17186|MAN?SA|2005|9|146.5
17186|MAN?SA|2005|10|97.5
17186|MAN?SA|2005|11|51.1
17186|MAN?SA|2005|12|40.1
17186|MAN?SA|2006|1|46.6
17186|MAN?SA|2006|2|55.9
17186|MAN?SA|2006|3|110.0
17186|MAN?SA|2006|4|146.4
17186|MAN?SA|2006|5|210.2
17186|MAN?SA|2006|6|202.1
17186|MAN?SA|2006|7|223.6
17186|MAN?SA|2006|8|124.4
17186|MAN?SA|2006|9|147.9
17186|MAN?SA|2006|10|90.0
17186|MAN?SA|2006|11|66.1
17186|MAN?SA|2006|12|41.8
17186|MAN?SA|2007|1|51.1
17186|MAN?SA|2007|2|30.6
17186|MAN?SA|2007|3|17.5
17186|MAN?SA|2007|4|16.7
17186|MAN?SA|2007|5|28.5
17186|MAN?SA|2007|6|131.2
17186|MAN?SA|2007|7|104.3
17186|MAN?SA|2007|8|197.1
17186|MAN?SA|2007|9|103.3
17186|MAN?SA|2007|10|60.4
17186|MAN?SA|2007|11|50.8
17186|MAN?SA|2007|12|41.8
17186|MAN?SA|2008|1|52.0
17186|MAN?SA|2008|2|68.9
17186|MAN?SA|2008|3|118.5
17186|MAN?SA|2008|4|131.5
17186|MAN?SA|2008|5|202.3
17186|MAN?SA|2008|6|222.1
17186|MAN?SA|2008|7|228.8
17186|MAN?SA|2008|8|196.6
17186|MAN?SA|2008|9|146.1
17186|MAN?SA|2008|10|108.7
17186|MAN?SA|2008|11|60.4
17186|MAN?SA|2008|12|34.1
17186|MAN?SA|2009|1|47.3
17186|MAN?SA|2009|2|54.4
17186|MAN?SA|2009|3|107.0
17186|MAN?SA|2009|4|146.9
17186|MAN?SA|2009|5|207.2
17186|MAN?SA|2009|6|222.0
17186|MAN?SA|2009|7|215.1
17186|MAN?SA|2009|8|204.5
17186|MAN?SA|2009|9|144.1
17186|MAN?SA|2009|10|54.6
17186|MAN?SA|2010|8|0.1
17186|MAN?SA|2010|9|0.0
17186|MAN?SA|2010|10|0.0
17186|MAN?SA|2010|12|9.1
17186|MAN?SA|2011|1|0.0
17186|MAN?SA|2012|4|0.0
17186|MAN?SA|2012|5|0.0
17186|MAN?SA|2012|6|0.0
17186|MAN?SA|2012|7|0.0
17186|MAN?SA|2012|8|0.0
17186|MAN?SA|2012|9|0.0
17186|MAN?SA|2012|10|0.0
17186|MAN?SA|2012|11|0.0
17186|MAN?SA|2012|12|0.0
17186|MAN?SA|2013|1|0.0
17186|MAN?SA|2013|2|0.0
17186|MAN?SA|2013|3|16.3
17186|MAN?SA|2013|4|11.4
17186|MAN?SA|2013|5|3.5
17186|MAN?SA|2013|6|0.0
17186|MAN?SA|2013|7|0.0
17186|MAN?SA|2013|8|0.0
17186|MAN?SA|2013|9|0.0
17186|MAN?SA|2013|10|0.0
17186|MAN?SA|2013|11|0.0
17186|MAN?SA|2013|12|0.0
17186|MAN?SA|2014|1|0.0
17186|MAN?SA|2014|2|0.0
17186|MAN?SA|2014|3|0.0
17186|MAN?SA|2014|4|0.0
17186|MAN?SA|2014|5|0.0
17186|MAN?SA|2014|6|0.0
17186|MAN?SA|2014|7|0.0
17186|MAN?SA|2014|8|0.0
17186|MAN?SA|2014|9|0.0
17186|MAN?SA|2014|10|0.0
17186|MAN?SA|2014|11|0.0
17186|MAN?SA|2014|12|0.3
17186|MAN?SA|2015|1|0.1
17186|MAN?SA|2015|2|4.5
17186|MAN?SA|2015|3|1.2
17186|MAN?SA|2015|4|0.0
17186|MAN?SA|2015|5|0.0
17186|MAN?SA|2015|6|0.0
17186|MAN?SA|2015|7|0.0
17186|MAN?SA|2015|8|0.0
17186|MAN?SA|2015|9|0.0
17186|MAN?SA|2015|10|0.0
17186|MAN?SA|2015|11|0.0
17186|MAN?SA|2015|12|0.0
17186|MAN?SA|2019|6|70.3
17186|MAN?SA|2019|7|229.8
17186|MAN?SA|2019|8|219.9
17186|MAN?SA|2019|9|165.2
17186|MAN?SA|2019|10|118.0
17186|MAN?SA|2019|11|65.8
17186|MAN?SA|2019|12|48.7
17186|MAN?SA|2020|1|65.2
17186|MAN?SA|2020|2|78.8
17186|MAN?SA|2020|3|125.9
17186|MAN?SA|2020|4|170.5
17186|MAN?SA|2020|5|199.6
17186|MAN?SA|2020|6|211.3
17186|MAN?SA|2020|7|222.8
17186|MAN?SA|2020|8|188.9
17186|MAN?SA|2020|9|107.3
17186|MAN?SA|2020|10|0.1
17186|MAN?SA|2020|11|43.4
17186|MAN?SA|2020|12|33.8
17186|MAN?SA|2021|1|37.6
17186|MAN?SA|2021|2|70.9
17186|MAN?SA|2021|3|106.9
17186|MAN?SA|2021|4|135.0
17186|MAN?SA|2021|5|198.6
17186|MAN?SA|2021|6|197.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|121.6
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|212.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|236.8
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|211.3
17227|AYDIN ?ILDIR HAVAL?MANI|2010|9|168.5
17227|AYDIN ?ILDIR HAVAL?MANI|2010|10|105.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|11|83.3
17227|AYDIN ?ILDIR HAVAL?MANI|2010|12|52.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|1|68.9
17227|AYDIN ?ILDIR HAVAL?MANI|2011|2|89.3
17227|AYDIN ?ILDIR HAVAL?MANI|2011|3|131.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|4|159.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|5|184.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|6|222.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|7|240.5
17227|AYDIN ?ILDIR HAVAL?MANI|2011|8|209.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|9|171.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|10|121.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|11|91.5
17227|AYDIN ?ILDIR HAVAL?MANI|2011|12|59.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|1|26.5
17227|AYDIN ?ILDIR HAVAL?MANI|2012|2|84.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|3|146.2
17227|AYDIN ?ILDIR HAVAL?MANI|2012|4|171.9
17227|AYDIN ?ILDIR HAVAL?MANI|2012|5|197.8
17227|AYDIN ?ILDIR HAVAL?MANI|2012|6|235.3
17227|AYDIN ?ILDIR HAVAL?MANI|2012|7|237.1
17227|AYDIN ?ILDIR HAVAL?MANI|2012|8|218.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|9|174.7
17227|AYDIN ?ILDIR HAVAL?MANI|2012|10|119.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|11|75.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|12|54.8
17227|AYDIN ?ILDIR HAVAL?MANI|2013|1|63.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|2|76.6
17227|AYDIN ?ILDIR HAVAL?MANI|2013|3|125.5
17227|AYDIN ?ILDIR HAVAL?MANI|2013|4|175.5
17227|AYDIN ?ILDIR HAVAL?MANI|2013|5|203.1
17227|AYDIN ?ILDIR HAVAL?MANI|2013|6|229.1
17227|AYDIN ?ILDIR HAVAL?MANI|2013|7|239.7
17227|AYDIN ?ILDIR HAVAL?MANI|2013|8|214.7
17227|AYDIN ?ILDIR HAVAL?MANI|2013|9|180.3
17227|AYDIN ?ILDIR HAVAL?MANI|2013|10|133.7
17227|AYDIN ?ILDIR HAVAL?MANI|2013|11|73.4
17227|AYDIN ?ILDIR HAVAL?MANI|2013|12|68.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|1|67.5
17227|AYDIN ?ILDIR HAVAL?MANI|2014|2|94.8
17227|AYDIN ?ILDIR HAVAL?MANI|2014|3|136.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|4|154.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|5|194.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|6|211.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|7|241.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|8|205.9
