Istasyon_No|Istasyon_Adi|YIL|AY|MAKS?MUM KURESEL GUNES RADYASYONU Watt?m?
17186|MAN?SA|2005|1|158880.8
17186|MAN?SA|2005|2|235396.2
17186|MAN?SA|2005|3|356367.4
17186|MAN?SA|2005|4|433236.3
17186|MAN?SA|2005|5|465693.0
17186|MAN?SA|2005|6|492924.4
17186|MAN?SA|2005|7|493140.6
17186|MAN?SA|2005|8|438136.4
17186|MAN?SA|2005|9|377844.3
17186|MAN?SA|2005|10|289526.7
17186|MAN?SA|2005|11|192666.7
17186|MAN?SA|2005|12|129849.9
17186|MAN?SA|2006|1|179216.2
17186|MAN?SA|2006|2|225230.3
17186|MAN?SA|2006|3|373196.0
17186|MAN?SA|2006|4|439425.1
17186|MAN?SA|2006|5|477923.9
17186|MAN?SA|2006|6|504038.0
17186|MAN?SA|2006|7|488897.1
17186|MAN?SA|2006|8|438982.3
17186|MAN?SA|2006|9|393689.7
17186|MAN?SA|2006|10|298587.8
17186|MAN?SA|2006|11|218957.5
17186|MAN?SA|2006|12|139258.6
17186|MAN?SA|2007|1|155548.5
17186|MAN?SA|2007|2|210040.1
17186|MAN?SA|2007|3|248342.5
17186|MAN?SA|2007|4|200566.7
17186|MAN?SA|2007|5|264751.1
17186|MAN?SA|2007|6|484044.8
17186|MAN?SA|2007|7|404590.0
17186|MAN?SA|2007|8|438136.7
17186|MAN?SA|2007|9|354868.3
17186|MAN?SA|2007|10|228005.7
17186|MAN?SA|2007|11|194960.0
17186|MAN?SA|2007|12|136758.9
17186|MAN?SA|2008|1|198126.9
17186|MAN?SA|2008|2|278082.9
17186|MAN?SA|2008|3|332865.7
17186|MAN?SA|2008|4|421794.3
17186|MAN?SA|2008|5|487856.2
17186|MAN?SA|2008|6|495143.7
17186|MAN?SA|2008|7|487819.6
17186|MAN?SA|2008|8|438329.3
17186|MAN?SA|2008|9|382293.2
17186|MAN?SA|2008|10|311946.0
17186|MAN?SA|2008|11|187036.2
17186|MAN?SA|2008|12|120844.4
17186|MAN?SA|2009|1|161321.0
17186|MAN?SA|2009|2|213057.9
17186|MAN?SA|2009|3|361205.1
17186|MAN?SA|2009|4|437662.5
17186|MAN?SA|2009|5|488162.1
17186|MAN?SA|2009|6|497005.0
17186|MAN?SA|2009|7|465968.4
17186|MAN?SA|2009|8|438284.2
17186|MAN?SA|2009|9|379515.1
17186|MAN?SA|2009|10|284490.9
17186|MAN?SA|2009|12|139135.9
17186|MAN?SA|2010|1|377681.3
17186|MAN?SA|2010|2|277778.9
17186|MAN?SA|2010|3|141036.6
17186|MAN?SA|2010|8|3687.2
17186|MAN?SA|2010|10|62721.6
17186|MAN?SA|2010|11|168864.9
17186|MAN?SA|2010|12|196821.2
17186|MAN?SA|2011|1|186234.5
17186|MAN?SA|2011|2|58166.0
17186|MAN?SA|2011|4|118.8
17186|MAN?SA|2012|4|0.0
17186|MAN?SA|2012|5|0.0
17186|MAN?SA|2012|6|0.0
17186|MAN?SA|2012|7|0.0
17186|MAN?SA|2012|8|0.0
17186|MAN?SA|2012|9|0.0
17186|MAN?SA|2012|10|0.0
17186|MAN?SA|2012|11|0.0
17186|MAN?SA|2012|12|0.0
17186|MAN?SA|2013|1|0.0
17186|MAN?SA|2013|2|600.0
17186|MAN?SA|2013|3|126000.0
17186|MAN?SA|2013|4|174600.0
17186|MAN?SA|2013|5|104400.0
17186|MAN?SA|2013|6|0.0
17186|MAN?SA|2013|7|0.0
17186|MAN?SA|2013|8|0.0
17186|MAN?SA|2013|9|0.0
17186|MAN?SA|2013|10|0.0
17186|MAN?SA|2013|11|0.0
17186|MAN?SA|2013|12|0.0
17186|MAN?SA|2014|1|0.0
17186|MAN?SA|2014|2|0.0
17186|MAN?SA|2014|3|0.0
17186|MAN?SA|2014|4|0.0
17186|MAN?SA|2014|5|0.0
17186|MAN?SA|2014|6|0.0
17186|MAN?SA|2014|7|0.0
17186|MAN?SA|2014|8|0.0
17186|MAN?SA|2014|9|0.0
17186|MAN?SA|2014|10|0.0
17186|MAN?SA|2014|11|0.0
17186|MAN?SA|2014|12|9000.0
17186|MAN?SA|2015|1|3600.0
17186|MAN?SA|2015|2|177000.0
17186|MAN?SA|2015|3|37800.0
17186|MAN?SA|2015|4|0.0
17186|MAN?SA|2015|5|0.0
17186|MAN?SA|2015|6|0.0
17186|MAN?SA|2015|7|0.0
17186|MAN?SA|2015|8|0.0
17186|MAN?SA|2015|9|0.0
17186|MAN?SA|2015|10|0.0
17186|MAN?SA|2015|11|0.0
17186|MAN?SA|2015|12|0.0
17186|MAN?SA|2019|6|495600.0
17186|MAN?SA|2019|7|498600.0
17186|MAN?SA|2019|8|475017.3
17186|MAN?SA|2019|9|378600.0
17186|MAN?SA|2019|10|312600.0
17186|MAN?SA|2019|11|219000.0
17186|MAN?SA|2019|12|155400.0
17186|MAN?SA|2020|1|192000.0
17186|MAN?SA|2020|2|267000.0
17186|MAN?SA|2020|3|367800.0
17186|MAN?SA|2020|4|453000.0
17186|MAN?SA|2020|5|490800.0
17186|MAN?SA|2020|6|509400.0
17186|MAN?SA|2020|7|509400.0
17186|MAN?SA|2020|8|421200.0
17186|MAN?SA|2020|9|363600.0
17186|MAN?SA|2020|11|163800.0
17186|MAN?SA|2020|12|87000.0
17186|MAN?SA|2021|1|109174.6
17186|MAN?SA|2021|2|258078.6
17186|MAN?SA|2021|3|342029.9
17186|MAN?SA|2021|4|422472.9
17186|MAN?SA|2021|5|469590.7
17186|MAN?SA|2021|6|480693.7
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|483031.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|502725.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|486956.9
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|446543.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|9|423964.8
17227|AYDIN ?ILDIR HAVAL?MANI|2010|10|332737.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|11|239048.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|12|169060.3
17227|AYDIN ?ILDIR HAVAL?MANI|2011|1|222766.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|2|277115.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|3|378081.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|4|456423.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|5|488761.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|6|509147.9
17227|AYDIN ?ILDIR HAVAL?MANI|2011|7|492939.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|8|444933.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|9|409960.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|10|342891.3
17227|AYDIN ?ILDIR HAVAL?MANI|2011|11|237271.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|12|178614.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|1|229277.5
17227|AYDIN ?ILDIR HAVAL?MANI|2012|2|284012.1
17227|AYDIN ?ILDIR HAVAL?MANI|2012|3|380981.9
17227|AYDIN ?ILDIR HAVAL?MANI|2012|4|450806.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|5|489486.1
17227|AYDIN ?ILDIR HAVAL?MANI|2012|6|518372.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|7|507708.2
17227|AYDIN ?ILDIR HAVAL?MANI|2012|8|447852.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|9|401961.6
