Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_NEM
17186|MAN?SA|1960|1|100.0
17186|MAN?SA|1960|2|100.0
17186|MAN?SA|1960|3|100.0
17186|MAN?SA|1960|4|97.0
17186|MAN?SA|1960|5|96.0
17186|MAN?SA|1960|6|94.0
17186|MAN?SA|1960|7|73.0
17186|MAN?SA|1960|8|74.0
17186|MAN?SA|1960|9|89.0
17186|MAN?SA|1960|10|94.0
17186|MAN?SA|1960|11|98.0
17186|MAN?SA|1960|12|100.0
17186|MAN?SA|1960|13|100.0
17186|MAN?SA|1961|1|98.0
17186|MAN?SA|1961|2|98.0
17186|MAN?SA|1961|3|96.0
17186|MAN?SA|1961|4|96.0
17186|MAN?SA|1961|5|99.0
17186|MAN?SA|1961|6|92.0
17186|MAN?SA|1961|7|71.0
17186|MAN?SA|1961|8|70.0
17186|MAN?SA|1961|9|79.0
17186|MAN?SA|1961|10|97.0
17186|MAN?SA|1961|11|100.0
17186|MAN?SA|1961|12|98.0
17186|MAN?SA|1961|13|100.0
17186|MAN?SA|1962|1|100.0
17186|MAN?SA|1962|2|100.0
17186|MAN?SA|1962|3|96.0
17186|MAN?SA|1962|4|92.0
17186|MAN?SA|1962|5|84.0
17186|MAN?SA|1962|6|84.0
17186|MAN?SA|1962|7|94.0
17186|MAN?SA|1962|8|71.0
17186|MAN?SA|1962|9|97.0
17186|MAN?SA|1962|10|96.0
17186|MAN?SA|1962|11|100.0
17186|MAN?SA|1962|12|98.0
17186|MAN?SA|1962|13|100.0
17186|MAN?SA|1963|1|97.0
17186|MAN?SA|1963|2|100.0
17186|MAN?SA|1963|3|92.0
17186|MAN?SA|1963|4|98.0
17186|MAN?SA|1963|5|95.0
17186|MAN?SA|1963|6|84.0
17186|MAN?SA|1963|7|70.0
17186|MAN?SA|1963|8|70.0
17186|MAN?SA|1963|9|75.0
17186|MAN?SA|1963|10|97.0
17186|MAN?SA|1963|11|100.0
17186|MAN?SA|1963|12|93.0
17186|MAN?SA|1963|13|100.0
17186|MAN?SA|1964|1|97.0
17186|MAN?SA|1964|2|97.0
17186|MAN?SA|1964|3|97.0
17186|MAN?SA|1964|4|77.0
17186|MAN?SA|1964|5|88.0
17186|MAN?SA|1964|6|93.0
17186|MAN?SA|1964|7|67.0
17186|MAN?SA|1964|8|64.0
17186|MAN?SA|1964|9|97.0
17186|MAN?SA|1964|10|92.0
17186|MAN?SA|1964|11|99.0
