Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_SICAKLIK_C
17186|MAN?SA|1960|1|20.0
17186|MAN?SA|1960|2|23.8
17186|MAN?SA|1960|3|26.0
17186|MAN?SA|1960|4|27.2
17186|MAN?SA|1960|5|35.3
17186|MAN?SA|1960|6|36.4
17186|MAN?SA|1960|7|38.7
17186|MAN?SA|1960|8|39.4
17186|MAN?SA|1960|9|36.8
17186|MAN?SA|1960|10|33.6
17186|MAN?SA|1960|11|25.7
17186|MAN?SA|1960|12|22.8
17186|MAN?SA|1960|13|39.4
17186|MAN?SA|1961|1|17.1
17186|MAN?SA|1961|2|15.8
17186|MAN?SA|1961|3|24.3
17186|MAN?SA|1961|4|30.0
17186|MAN?SA|1961|5|34.4
17186|MAN?SA|1961|6|34.4
17186|MAN?SA|1961|7|39.3
17186|MAN?SA|1961|8|40.2
17186|MAN?SA|1961|9|35.4
17186|MAN?SA|1961|10|33.0
17186|MAN?SA|1961|11|27.8
17186|MAN?SA|1961|12|20.3
17186|MAN?SA|1961|13|40.2
17186|MAN?SA|1962|1|18.3
17186|MAN?SA|1962|2|16.7
17186|MAN?SA|1962|3|25.7
17186|MAN?SA|1962|4|26.1
17186|MAN?SA|1962|5|35.1
17186|MAN?SA|1962|6|38.6
17186|MAN?SA|1962|7|39.4
17186|MAN?SA|1962|8|41.1
17186|MAN?SA|1962|9|37.8
17186|MAN?SA|1962|10|27.2
17186|MAN?SA|1962|11|26.0
17186|MAN?SA|1962|12|21.0
17186|MAN?SA|1962|13|41.1
17186|MAN?SA|1963|1|21.9
17186|MAN?SA|1963|2|21.8
17186|MAN?SA|1963|3|24.4
17186|MAN?SA|1963|4|26.2
17186|MAN?SA|1963|5|29.1
17186|MAN?SA|1963|6|39.2
17186|MAN?SA|1963|7|38.0
17186|MAN?SA|1963|8|42.0
17186|MAN?SA|1963|9|37.5
17186|MAN?SA|1963|10|31.6
17186|MAN?SA|1963|11|23.3
17186|MAN?SA|1963|12|26.4
17186|MAN?SA|1963|13|42.0
17186|MAN?SA|1964|1|16.8
17186|MAN?SA|1964|2|19.3
17186|MAN?SA|1964|3|26.9
17186|MAN?SA|1964|4|30.3
17186|MAN?SA|1964|5|34.5
17186|MAN?SA|1964|6|37.2
17186|MAN?SA|1964|7|38.1
17186|MAN?SA|1964|8|39.4
17186|MAN?SA|1964|9|34.9
17186|MAN?SA|1964|10|32.7
17186|MAN?SA|1964|11|23.8
17186|MAN?SA|1964|12|20.4
17186|MAN?SA|1964|13|39.4
17186|MAN?SA|1965|1|17.4
17186|MAN?SA|1965|2|18.1
17186|MAN?SA|1965|3|23.4
17186|MAN?SA|1965|4|24.8
17186|MAN?SA|1965|5|32.4
17186|MAN?SA|1965|6|35.8
17186|MAN?SA|1965|7|40.7
17186|MAN?SA|1965|8|39.2
17186|MAN?SA|1965|9|37.0
17186|MAN?SA|1965|10|31.8
17186|MAN?SA|1965|11|24.5
17186|MAN?SA|1965|12|22.5
17186|MAN?SA|1965|13|40.7
17186|MAN?SA|1966|1|19.0
17186|MAN?SA|1966|2|20.7
17186|MAN?SA|1966|3|21.4
17186|MAN?SA|1966|4|29.0
17186|MAN?SA|1966|5|31.2
17186|MAN?SA|1966|6|35.3
17186|MAN?SA|1966|7|39.8
17186|MAN?SA|1966|8|39.3
17186|MAN?SA|1966|9|32.4
17186|MAN?SA|1966|10|29.4
17186|MAN?SA|1966|11|27.3
17186|MAN?SA|1966|12|20.0
17186|MAN?SA|1966|13|39.8
17186|MAN?SA|1967|1|18.8
17186|MAN?SA|1967|2|17.0
17186|MAN?SA|1967|3|25.4
17186|MAN?SA|1967|4|29.8
17186|MAN?SA|1967|5|31.9
17186|MAN?SA|1967|6|34.3
17186|MAN?SA|1967|7|38.4
17186|MAN?SA|1967|8|38.4
17186|MAN?SA|1967|9|32.7
17186|MAN?SA|1967|10|28.3
17186|MAN?SA|1967|11|22.2
17186|MAN?SA|1967|12|22.7
17186|MAN?SA|1967|13|38.4
17186|MAN?SA|1968|1|17.4
17186|MAN?SA|1968|2|24.5
17186|MAN?SA|1968|3|22.8
17186|MAN?SA|1968|4|30.5
17186|MAN?SA|1968|5|35.1
17186|MAN?SA|1968|6|35.6
17186|MAN?SA|1968|7|41.2
17186|MAN?SA|1968|8|37.0
17186|MAN?SA|1968|9|36.7
17186|MAN?SA|1968|10|26.0
17186|MAN?SA|1968|11|19.8
17186|MAN?SA|1968|12|19.2
17186|MAN?SA|1968|13|41.2
17186|MAN?SA|1969|1|15.9
17186|MAN?SA|1969|2|20.9
17186|MAN?SA|1969|3|20.2
17186|MAN?SA|1969|4|27.3
17186|MAN?SA|1969|5|38.6
17186|MAN?SA|1969|6|39.7
17186|MAN?SA|1969|7|37.7
17186|MAN?SA|1969|8|41.3
17186|MAN?SA|1969|9|36.2
17186|MAN?SA|1969|10|27.9
17186|MAN?SA|1969|11|23.4
17186|MAN?SA|1969|12|22.0
17186|MAN?SA|1969|13|41.3
17186|MAN?SA|1970|1|19.3
17186|MAN?SA|1970|2|20.5
17186|MAN?SA|1970|3|27.7
17186|MAN?SA|1970|4|31.5
17186|MAN?SA|1970|5|33.2
17186|MAN?SA|1970|6|37.2
17186|MAN?SA|1970|7|37.6
17186|MAN?SA|1970|8|40.1
17186|MAN?SA|1970|9|33.8
17186|MAN?SA|1970|10|26.8
17186|MAN?SA|1970|11|23.2
17186|MAN?SA|1970|12|19.0
17186|MAN?SA|1970|13|40.1
17186|MAN?SA|1971|1|23.3
17186|MAN?SA|1971|2|18.0
17186|MAN?SA|1971|3|24.0
17186|MAN?SA|1971|4|29.6
17186|MAN?SA|1971|5|33.8
17186|MAN?SA|1971|6|38.4
17186|MAN?SA|1971|7|38.1
17186|MAN?SA|1971|8|37.4
17186|MAN?SA|1971|9|35.3
17186|MAN?SA|1971|10|29.2
17186|MAN?SA|1971|11|23.6
17186|MAN?SA|1971|12|19.4
17186|MAN?SA|1971|13|38.4
17186|MAN?SA|1972|1|16.2
17186|MAN?SA|1972|2|17.2
17186|MAN?SA|1972|3|23.6
17186|MAN?SA|1972|4|28.6
17186|MAN?SA|1972|5|33.2
17186|MAN?SA|1972|6|40.7
17186|MAN?SA|1972|7|37.6
17186|MAN?SA|1972|8|39.7
17186|MAN?SA|1972|9|39.0
17186|MAN?SA|1972|10|27.6
17186|MAN?SA|1972|11|21.6
17186|MAN?SA|1972|12|14.7
17186|MAN?SA|1972|13|40.7
17186|MAN?SA|1973|1|15.0
17186|MAN?SA|1973|2|21.6
17186|MAN?SA|1973|3|23.0
17186|MAN?SA|1973|4|25.6
17186|MAN?SA|1973|5|36.2
17186|MAN?SA|1973|6|40.3
17186|MAN?SA|1973|7|43.0
17186|MAN?SA|1973|8|35.3
17186|MAN?SA|1973|9|35.3
17186|MAN?SA|1973|10|31.0
17186|MAN?SA|1973|11|21.5
17186|MAN?SA|1973|12|20.0
17186|MAN?SA|1973|13|43.0
17186|MAN?SA|1974|1|11.0
17186|MAN?SA|1974|2|18.3
17186|MAN?SA|1974|3|24.1
17186|MAN?SA|1974|4|28.0
17186|MAN?SA|1974|5|31.8
17186|MAN?SA|1974|6|36.6
17186|MAN?SA|1974|7|41.4
17186|MAN?SA|1974|8|38.3
17186|MAN?SA|1974|9|33.9
17186|MAN?SA|1974|10|35.2
17186|MAN?SA|1974|11|22.5
17186|MAN?SA|1974|12|16.5
17186|MAN?SA|1974|13|41.4
17186|MAN?SA|1975|1|15.1
17186|MAN?SA|1975|2|15.7
17186|MAN?SA|1975|3|27.0
17186|MAN?SA|1975|4|31.0
17186|MAN?SA|1975|5|34.2
17186|MAN?SA|1975|6|36.6
17186|MAN?SA|1975|7|39.8
17186|MAN?SA|1975|8|37.9
17186|MAN?SA|1975|9|35.7
17186|MAN?SA|1975|10|30.7
17186|MAN?SA|1975|11|27.7
17186|MAN?SA|1975|12|17.4
17186|MAN?SA|1975|13|39.8
17186|MAN?SA|1976|1|17.6
17186|MAN?SA|1976|2|14.8
17186|MAN?SA|1976|3|20.6
17186|MAN?SA|1976|4|28.4
17186|MAN?SA|1976|5|29.7
17186|MAN?SA|1976|6|35.6
17186|MAN?SA|1976|7|38.5
17186|MAN?SA|1976|8|36.0
17186|MAN?SA|1976|9|35.0
17186|MAN?SA|1976|10|31.7
17186|MAN?SA|1976|11|23.0
17186|MAN?SA|1976|12|23.0
17186|MAN?SA|1976|13|38.5
17186|MAN?SA|1977|1|19.4
17186|MAN?SA|1977|2|23.4
17186|MAN?SA|1977|3|29.5
17186|MAN?SA|1977|4|26.6
17186|MAN?SA|1977|5|36.8
17186|MAN?SA|1977|6|38.6
17186|MAN?SA|1977|7|42.2
17186|MAN?SA|1977|8|42.2
17186|MAN?SA|1977|9|36.4
17186|MAN?SA|1977|10|27.1
17186|MAN?SA|1977|11|24.7
17186|MAN?SA|1977|12|19.6
17186|MAN?SA|1977|13|42.2
17186|MAN?SA|1978|1|16.7
17186|MAN?SA|1978|2|23.6
17186|MAN?SA|1978|3|23.0
17186|MAN?SA|1978|4|25.6
17186|MAN?SA|1978|5|31.6
17186|MAN?SA|1978|6|39.4
17186|MAN?SA|1978|7|41.3
17186|MAN?SA|1978|8|38.4
17186|MAN?SA|1978|9|34.4
17186|MAN?SA|1978|10|31.5
17186|MAN?SA|1978|11|18.6
17186|MAN?SA|1978|12|20.0
17186|MAN?SA|1978|13|41.3
17186|MAN?SA|1979|1|20.4
17186|MAN?SA|1979|2|21.6
17186|MAN?SA|1979|3|25.3
