Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_NEM
17186|MAN?SA|1960|1|36.0
17186|MAN?SA|1960|2|34.0
17186|MAN?SA|1960|3|26.0
17186|MAN?SA|1960|4|21.0
17186|MAN?SA|1960|5|22.0
17186|MAN?SA|1960|6|21.0
17186|MAN?SA|1960|7|11.0
17186|MAN?SA|1960|8|7.0
17186|MAN?SA|1960|9|18.0
17186|MAN?SA|1960|10|18.0
17186|MAN?SA|1960|11|29.0
17186|MAN?SA|1960|12|36.0
17186|MAN?SA|1960|13|7.0
17186|MAN?SA|1961|1|39.0
17186|MAN?SA|1961|2|40.0
17186|MAN?SA|1961|3|23.0
17186|MAN?SA|1961|4|24.0
17186|MAN?SA|1961|5|19.0
17186|MAN?SA|1961|6|13.0
17186|MAN?SA|1961|7|17.0
17186|MAN?SA|1961|8|12.0
17186|MAN?SA|1961|9|7.0
17186|MAN?SA|1961|10|10.0
17186|MAN?SA|1961|11|21.0
17186|MAN?SA|1961|12|47.0
17186|MAN?SA|1961|13|7.0
17186|MAN?SA|1962|1|40.0
17186|MAN?SA|1962|2|27.0
17186|MAN?SA|1962|3|30.0
17186|MAN?SA|1962|4|30.0
17186|MAN?SA|1962|5|14.0
17186|MAN?SA|1962|6|9.0
17186|MAN?SA|1962|7|12.0
17186|MAN?SA|1962|8|7.0
17186|MAN?SA|1962|9|7.0
17186|MAN?SA|1962|10|30.0
17186|MAN?SA|1962|11|44.0
17186|MAN?SA|1962|12|44.0
17186|MAN?SA|1962|13|7.0
17186|MAN?SA|1963|1|37.0
17186|MAN?SA|1963|2|33.0
17186|MAN?SA|1963|3|24.0
17186|MAN?SA|1963|4|18.0
17186|MAN?SA|1963|5|26.0
17186|MAN?SA|1963|6|16.0
17186|MAN?SA|1963|7|10.0
17186|MAN?SA|1963|8|9.0
17186|MAN?SA|1963|9|10.0
17186|MAN?SA|1963|10|23.0
17186|MAN?SA|1963|11|28.0
17186|MAN?SA|1963|12|13.0
17186|MAN?SA|1963|13|9.0
17186|MAN?SA|1964|1|23.0
17186|MAN?SA|1964|2|16.0
17186|MAN?SA|1964|3|24.0
17186|MAN?SA|1964|4|9.0
17186|MAN?SA|1964|5|19.0
17186|MAN?SA|1964|6|18.0
17186|MAN?SA|1964|7|14.0
17186|MAN?SA|1964|8|14.0
17186|MAN?SA|1964|9|18.0
17186|MAN?SA|1964|10|19.0
17186|MAN?SA|1964|11|28.0
17186|MAN?SA|1964|12|46.0
17186|MAN?SA|1964|13|9.0
17186|MAN?SA|1965|1|47.0
17186|MAN?SA|1965|2|47.0
17186|MAN?SA|1965|3|31.0
17186|MAN?SA|1965|4|22.0
17186|MAN?SA|1965|5|28.0
17186|MAN?SA|1965|6|17.0
17186|MAN?SA|1965|7|14.0
17186|MAN?SA|1965|8|11.0
17186|MAN?SA|1965|9|12.0
17186|MAN?SA|1965|10|29.0
17186|MAN?SA|1965|11|28.0
17186|MAN?SA|1965|12|21.0
17186|MAN?SA|1965|13|11.0
17186|MAN?SA|1966|1|48.0
17186|MAN?SA|1966|2|33.0
17186|MAN?SA|1966|3|37.0
17186|MAN?SA|1966|4|26.0
17186|MAN?SA|1966|5|17.0
17186|MAN?SA|1966|6|16.0
17186|MAN?SA|1966|7|10.0
17186|MAN?SA|1966|8|17.0
17186|MAN?SA|1966|9|21.0
17186|MAN?SA|1966|10|22.0
17186|MAN?SA|1966|11|28.0
17186|MAN?SA|1966|12|47.0
17186|MAN?SA|1966|13|10.0
17186|MAN?SA|1967|1|41.0
17186|MAN?SA|1967|2|31.0
17186|MAN?SA|1967|3|26.0
17186|MAN?SA|1967|4|19.0
17186|MAN?SA|1967|5|14.0
17186|MAN?SA|1967|6|19.0
17186|MAN?SA|1967|7|14.0
17186|MAN?SA|1967|8|16.0
17186|MAN?SA|1967|9|19.0
17186|MAN?SA|1967|10|21.0
17186|MAN?SA|1967|11|31.0
17186|MAN?SA|1967|12|33.0
17186|MAN?SA|1967|13|14.0
17186|MAN?SA|1968|1|37.0
17186|MAN?SA|1968|2|21.0
17186|MAN?SA|1968|3|27.0
17186|MAN?SA|1968|4|20.0
17186|MAN?SA|1968|5|16.0
17186|MAN?SA|1968|6|24.0
17186|MAN?SA|1968|7|13.0
17186|MAN?SA|1968|8|19.0
17186|MAN?SA|1968|9|18.0
17186|MAN?SA|1968|10|35.0
17186|MAN?SA|1968|11|50.0
17186|MAN?SA|1968|12|43.0
17186|MAN?SA|1968|13|13.0
17186|MAN?SA|1969|1|41.0
17186|MAN?SA|1969|2|44.0
17186|MAN?SA|1969|3|34.0
17186|MAN?SA|1969|4|34.0
17186|MAN?SA|1969|5|19.0
17186|MAN?SA|1969|6|16.0
17186|MAN?SA|1969|7|19.0
17186|MAN?SA|1969|8|16.0
17186|MAN?SA|1969|9|26.0
17186|MAN?SA|1969|10|26.0
17186|MAN?SA|1969|11|27.0
17186|MAN?SA|1969|12|43.0
17186|MAN?SA|1969|13|16.0
17186|MAN?SA|1970|1|44.0
17186|MAN?SA|1970|2|40.0
17186|MAN?SA|1970|3|19.0
17186|MAN?SA|1970|4|19.0
17186|MAN?SA|1970|5|22.0
17186|MAN?SA|1970|6|23.0
17186|MAN?SA|1970|7|15.0
17186|MAN?SA|1970|8|20.0
17186|MAN?SA|1970|9|22.0
17186|MAN?SA|1970|10|27.0
17186|MAN?SA|1970|11|39.0
17186|MAN?SA|1970|12|40.0
17186|MAN?SA|1970|13|15.0
17186|MAN?SA|1971|1|33.0
17186|MAN?SA|1971|2|36.0
17186|MAN?SA|1971|3|22.0
17186|MAN?SA|1971|4|25.0
17186|MAN?SA|1971|5|22.0
