Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_SICAKLIK_C
17186|MAN?SA|1960|1|-2.8
17186|MAN?SA|1960|2|-6.1
17186|MAN?SA|1960|3|-1.0
17186|MAN?SA|1960|4|3.5
17186|MAN?SA|1960|5|7.7
17186|MAN?SA|1960|6|11.5
17186|MAN?SA|1960|7|13.7
17186|MAN?SA|1960|8|13.2
17186|MAN?SA|1960|9|6.2
17186|MAN?SA|1960|10|5.7
17186|MAN?SA|1960|11|0.7
17186|MAN?SA|1960|12|0.7
17186|MAN?SA|1960|13|-6.1
17186|MAN?SA|1961|1|-7.1
17186|MAN?SA|1961|2|-1.0
17186|MAN?SA|1961|3|-4.3
17186|MAN?SA|1961|4|2.5
17186|MAN?SA|1961|5|7.5
17186|MAN?SA|1961|6|13.0
17186|MAN?SA|1961|7|14.0
17186|MAN?SA|1961|8|12.5
17186|MAN?SA|1961|9|8.2
17186|MAN?SA|1961|10|3.1
17186|MAN?SA|1961|11|-3.1
17186|MAN?SA|1961|12|-1.2
17186|MAN?SA|1961|13|-7.1
17186|MAN?SA|1962|1|-3.0
17186|MAN?SA|1962|2|-1.8
17186|MAN?SA|1962|3|-0.4
17186|MAN?SA|1962|4|3.4
17186|MAN?SA|1962|5|5.7
17186|MAN?SA|1962|6|8.1
17186|MAN?SA|1962|7|13.3
17186|MAN?SA|1962|8|16.9
17186|MAN?SA|1962|9|12.1
17186|MAN?SA|1962|10|7.2
17186|MAN?SA|1962|11|7.2
17186|MAN?SA|1962|12|-1.0
17186|MAN?SA|1962|13|-3.0
17186|MAN?SA|1963|1|-3.6
17186|MAN?SA|1963|2|-0.8
17186|MAN?SA|1963|3|-1.6
17186|MAN?SA|1963|4|1.3
17186|MAN?SA|1963|5|9.7
17186|MAN?SA|1963|6|13.1
17186|MAN?SA|1963|7|17.1
17186|MAN?SA|1963|8|17.1
17186|MAN?SA|1963|9|10.3
17186|MAN?SA|1963|10|6.5
17186|MAN?SA|1963|11|0.8
17186|MAN?SA|1963|12|-2.0
17186|MAN?SA|1963|13|-3.6
17186|MAN?SA|1964|1|-10.0
17186|MAN?SA|1964|2|-5.1
17186|MAN?SA|1964|3|-0.1
17186|MAN?SA|1964|4|2.5
17186|MAN?SA|1964|5|7.7
17186|MAN?SA|1964|6|14.5
17186|MAN?SA|1964|7|13.7
17186|MAN?SA|1964|8|15.5
17186|MAN?SA|1964|9|10.9
17186|MAN?SA|1964|10|7.5
17186|MAN?SA|1964|11|-0.9
17186|MAN?SA|1964|12|-1.0
17186|MAN?SA|1964|13|-10.0
17186|MAN?SA|1965|1|-3.0
17186|MAN?SA|1965|2|-6.2
17186|MAN?SA|1965|3|-1.0
17186|MAN?SA|1965|4|1.4
17186|MAN?SA|1965|5|6.4
17186|MAN?SA|1965|6|14.5
17186|MAN?SA|1965|7|14.1
17186|MAN?SA|1965|8|12.4
17186|MAN?SA|1965|9|11.9
17186|MAN?SA|1965|10|2.8
17186|MAN?SA|1965|11|-1.3
17186|MAN?SA|1965|12|-1.7
17186|MAN?SA|1965|13|-6.2
17186|MAN?SA|1966|1|-3.4
17186|MAN?SA|1966|2|0.4
17186|MAN?SA|1966|3|-1.5
17186|MAN?SA|1966|4|1.8
17186|MAN?SA|1966|5|8.8
17186|MAN?SA|1966|6|12.3
17186|MAN?SA|1966|7|17.1
17186|MAN?SA|1966|8|14.4
17186|MAN?SA|1966|9|12.7
17186|MAN?SA|1966|10|10.6
17186|MAN?SA|1966|11|8.0
17186|MAN?SA|1966|12|-2.4
17186|MAN?SA|1966|13|-3.4
17186|MAN?SA|1967|1|-6.3
17186|MAN?SA|1967|2|-4.0
17186|MAN?SA|1967|3|-1.6
17186|MAN?SA|1967|4|2.5
17186|MAN?SA|1967|5|8.5
17186|MAN?SA|1967|6|13.4
17186|MAN?SA|1967|7|18.4
17186|MAN?SA|1967|8|16.3
17186|MAN?SA|1967|9|12.7
17186|MAN?SA|1967|10|9.4
17186|MAN?SA|1967|11|-4.9
17186|MAN?SA|1967|12|-6.6
17186|MAN?SA|1967|13|-6.6
17186|MAN?SA|1968|1|-9.6
17186|MAN?SA|1968|2|-2.0
17186|MAN?SA|1968|3|-1.6
17186|MAN?SA|1968|4|6.3
17186|MAN?SA|1968|5|11.6
17186|MAN?SA|1968|6|14.0
17186|MAN?SA|1968|7|16.1
17186|MAN?SA|1968|8|15.4
17186|MAN?SA|1968|9|9.6
17186|MAN?SA|1968|10|6.4
17186|MAN?SA|1968|11|5.6
17186|MAN?SA|1968|12|-0.4
17186|MAN?SA|1968|13|-9.6
17186|MAN?SA|1969|1|-3.9
17186|MAN?SA|1969|2|-1.0
17186|MAN?SA|1969|3|0.4
17186|MAN?SA|1969|4|-0.7
17186|MAN?SA|1969|5|10.4
17186|MAN?SA|1969|6|12.4
17186|MAN?SA|1969|7|14.3
17186|MAN?SA|1969|8|16.9
17186|MAN?SA|1969|9|11.8
17186|MAN?SA|1969|10|4.2
17186|MAN?SA|1969|11|0.0
17186|MAN?SA|1969|12|1.2
17186|MAN?SA|1969|13|-3.9
17186|MAN?SA|1970|1|-1.5
17186|MAN?SA|1970|2|-2.2
17186|MAN?SA|1970|3|0.1
17186|MAN?SA|1970|4|4.6
17186|MAN?SA|1970|5|7.9
17186|MAN?SA|1970|6|11.6
17186|MAN?SA|1970|7|16.0
17186|MAN?SA|1970|8|13.6
17186|MAN?SA|1970|9|8.6
17186|MAN?SA|1970|10|4.2
17186|MAN?SA|1970|11|1.5
17186|MAN?SA|1970|12|-3.3
17186|MAN?SA|1970|13|-3.3
17186|MAN?SA|1971|1|-1.0
17186|MAN?SA|1971|2|-4.4
17186|MAN?SA|1971|3|-3.5
17186|MAN?SA|1971|4|1.6
17186|MAN?SA|1971|5|9.6
17186|MAN?SA|1971|6|12.0
17186|MAN?SA|1971|7|13.5
17186|MAN?SA|1971|8|14.2
17186|MAN?SA|1971|9|9.0
17186|MAN?SA|1971|10|3.1
17186|MAN?SA|1971|11|1.0
17186|MAN?SA|1971|12|-2.7
17186|MAN?SA|1971|13|-4.4
17186|MAN?SA|1972|1|-5.0
17186|MAN?SA|1972|2|-7.0
17186|MAN?SA|1972|3|-0.3
17186|MAN?SA|1972|4|3.0
17186|MAN?SA|1972|5|7.8
17186|MAN?SA|1972|6|14.6
17186|MAN?SA|1972|7|15.7
17186|MAN?SA|1972|8|15.7
17186|MAN?SA|1972|9|11.1
17186|MAN?SA|1972|10|1.2
17186|MAN?SA|1972|11|-2.0
17186|MAN?SA|1972|12|-4.0
17186|MAN?SA|1972|13|-7.0
17186|MAN?SA|1973|1|-8.2
17186|MAN?SA|1973|2|0.3
17186|MAN?SA|1973|3|-2.6
17186|MAN?SA|1973|4|4.5
17186|MAN?SA|1973|5|9.2
17186|MAN?SA|1973|6|12.0
17186|MAN?SA|1973|7|16.8
17186|MAN?SA|1973|8|16.4
17186|MAN?SA|1973|9|11.3
17186|MAN?SA|1973|10|2.6
17186|MAN?SA|1973|11|-3.5
17186|MAN?SA|1973|12|-1.0
17186|MAN?SA|1973|13|-8.2
17186|MAN?SA|1974|1|-5.2
17186|MAN?SA|1974|2|-5.5
17186|MAN?SA|1974|3|3.9
17186|MAN?SA|1974|4|2.6
17186|MAN?SA|1974|5|8.0
17186|MAN?SA|1974|6|11.6
17186|MAN?SA|1974|7|14.7
17186|MAN?SA|1974|8|15.8
17186|MAN?SA|1974|9|7.8
17186|MAN?SA|1974|10|5.3
17186|MAN?SA|1974|11|1.0
17186|MAN?SA|1974|12|-1.8
17186|MAN?SA|1974|13|-5.5
17186|MAN?SA|1975|1|-3.0
17186|MAN?SA|1975|2|-6.0
17186|MAN?SA|1975|3|-2.4
17186|MAN?SA|1975|4|5.1
17186|MAN?SA|1975|5|7.4
17186|MAN?SA|1975|6|12.4
17186|MAN?SA|1975|7|15.2
17186|MAN?SA|1975|8|12.2
17186|MAN?SA|1975|9|14.1
17186|MAN?SA|1975|10|5.6
17186|MAN?SA|1975|11|0.5
17186|MAN?SA|1975|12|-2.8
17186|MAN?SA|1975|13|-6.0
17186|MAN?SA|1976|1|-5.4
17186|MAN?SA|1976|2|-6.0
17186|MAN?SA|1976|3|-1.6
17186|MAN?SA|1976|4|4.6
17186|MAN?SA|1976|5|8.0
17186|MAN?SA|1976|6|11.2
17186|MAN?SA|1976|7|15.5
17186|MAN?SA|1976|8|14.4
17186|MAN?SA|1976|9|9.2
17186|MAN?SA|1976|10|7.4
17186|MAN?SA|1976|11|-1.5
17186|MAN?SA|1976|12|-1.6
17186|MAN?SA|1976|13|-6.0
17186|MAN?SA|1977|1|-4.6
17186|MAN?SA|1977|2|-1.7
