Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_NEM_%
17186|MAN?SA|1960|1|74.3
17186|MAN?SA|1960|2|69.1
17186|MAN?SA|1960|3|67.5
17186|MAN?SA|1960|4|66.4
17186|MAN?SA|1960|5|58.2
17186|MAN?SA|1960|6|53.4
17186|MAN?SA|1960|7|45.3
17186|MAN?SA|1960|8|42.8
17186|MAN?SA|1960|9|52.1
17186|MAN?SA|1960|10|56.5
17186|MAN?SA|1960|11|73.4
17186|MAN?SA|1960|12|78.8
17186|MAN?SA|1960|13|61.4
17186|MAN?SA|1961|1|77.6
17186|MAN?SA|1961|2|68.7
17186|MAN?SA|1961|3|57.0
17186|MAN?SA|1961|4|59.6
17186|MAN?SA|1961|5|54.8
17186|MAN?SA|1961|6|51.5
17186|MAN?SA|1961|7|44.2
17186|MAN?SA|1961|8|41.0
17186|MAN?SA|1961|9|43.6
17186|MAN?SA|1961|10|57.5
17186|MAN?SA|1961|11|69.5
17186|MAN?SA|1961|12|78.4
17186|MAN?SA|1961|13|58.6
17186|MAN?SA|1962|1|74.2
17186|MAN?SA|1962|2|71.2
17186|MAN?SA|1962|3|64.6
17186|MAN?SA|1962|4|63.0
17186|MAN?SA|1962|5|44.4
17186|MAN?SA|1962|6|41.2
17186|MAN?SA|1962|7|40.5
17186|MAN?SA|1962|8|41.9
17186|MAN?SA|1962|9|47.3
17186|MAN?SA|1962|10|68.8
17186|MAN?SA|1962|11|79.0
17186|MAN?SA|1962|12|75.1
17186|MAN?SA|1962|13|59.2
17186|MAN?SA|1963|1|73.6
17186|MAN?SA|1963|2|68.0
17186|MAN?SA|1963|3|57.1
17186|MAN?SA|1963|4|58.6
17186|MAN?SA|1963|5|61.3
17186|MAN?SA|1963|6|46.9
17186|MAN?SA|1963|7|40.3
17186|MAN?SA|1963|8|36.2
17186|MAN?SA|1963|9|43.6
17186|MAN?SA|1963|10|61.9
17186|MAN?SA|1963|11|71.3
17186|MAN?SA|1963|12|58.0
17186|MAN?SA|1963|13|56.3
17186|MAN?SA|1964|1|59.2
17186|MAN?SA|1964|2|68.0
17186|MAN?SA|1964|3|67.5
17186|MAN?SA|1964|4|41.2
17186|MAN?SA|1964|5|48.7
17186|MAN?SA|1964|6|46.3
17186|MAN?SA|1964|7|39.8
17186|MAN?SA|1964|8|40.1
17186|MAN?SA|1964|9|53.5
17186|MAN?SA|1964|10|52.7
17186|MAN?SA|1964|11|74.9
17186|MAN?SA|1964|12|77.5
17186|MAN?SA|1964|13|55.7
17186|MAN?SA|1965|1|75.0
17186|MAN?SA|1965|2|75.7
17186|MAN?SA|1965|3|69.2
17186|MAN?SA|1965|4|70.5
17186|MAN?SA|1965|5|65.0
17186|MAN?SA|1965|6|42.5
17186|MAN?SA|1965|7|40.6
17186|MAN?SA|1965|8|44.9
17186|MAN?SA|1965|9|45.1
17186|MAN?SA|1965|10|57.3
17186|MAN?SA|1965|11|65.1
17186|MAN?SA|1965|12|78.2
17186|MAN?SA|1965|13|60.7
17186|MAN?SA|1966|1|77.5
17186|MAN?SA|1966|2|71.8
17186|MAN?SA|1966|3|68.8
17186|MAN?SA|1966|4|65.9
17186|MAN?SA|1966|5|52.2
17186|MAN?SA|1966|6|46.8
17186|MAN?SA|1966|7|42.3
17186|MAN?SA|1966|8|45.9
17186|MAN?SA|1966|9|56.1
17186|MAN?SA|1966|10|65.8
17186|MAN?SA|1966|11|73.9
17186|MAN?SA|1966|12|81.0
17186|MAN?SA|1966|13|62.3
17186|MAN?SA|1967|1|73.2
17186|MAN?SA|1967|2|69.1
17186|MAN?SA|1967|3|62.3
17186|MAN?SA|1967|4|61.0
17186|MAN?SA|1967|5|55.7
17186|MAN?SA|1967|6|42.3
17186|MAN?SA|1967|7|40.3
17186|MAN?SA|1967|8|39.8
17186|MAN?SA|1967|9|49.1
17186|MAN?SA|1967|10|63.8
17186|MAN?SA|1967|11|68.9
17186|MAN?SA|1967|12|73.6
17186|MAN?SA|1967|13|58.2
17186|MAN?SA|1968|1|71.2
17186|MAN?SA|1968|2|72.4
17186|MAN?SA|1968|3|67.3
17186|MAN?SA|1968|4|52.5
17186|MAN?SA|1968|5|50.5
17186|MAN?SA|1968|6|47.9
17186|MAN?SA|1968|7|37.8
17186|MAN?SA|1968|8|45.8
17186|MAN?SA|1968|9|54.8
17186|MAN?SA|1968|10|66.1
17186|MAN?SA|1968|11|80.9
17186|MAN?SA|1968|12|75.4
17186|MAN?SA|1968|13|60.2
17186|MAN?SA|1969|1|73.4
17186|MAN?SA|1969|2|74.3
17186|MAN?SA|1969|3|72.0
17186|MAN?SA|1969|4|62.0
17186|MAN?SA|1969|5|52.3
17186|MAN?SA|1969|6|44.0
17186|MAN?SA|1969|7|45.6
17186|MAN?SA|1969|8|42.5
17186|MAN?SA|1969|9|49.4
17186|MAN?SA|1969|10|55.5
17186|MAN?SA|1969|11|62.5
17186|MAN?SA|1969|12|78.6
17186|MAN?SA|1969|13|59.3
17186|MAN?SA|1970|1|75.7
17186|MAN?SA|1970|2|68.9
17186|MAN?SA|1970|3|66.2
17186|MAN?SA|1970|4|60.1
17186|MAN?SA|1970|5|52.5
17186|MAN?SA|1970|6|48.7
17186|MAN?SA|1970|7|45.2
17186|MAN?SA|1970|8|41.8
17186|MAN?SA|1970|9|48.2
17186|MAN?SA|1970|10|60.9
17186|MAN?SA|1970|11|73.9
17186|MAN?SA|1970|12|77.8
17186|MAN?SA|1970|13|59.9
17186|MAN?SA|1971|1|77.4
17186|MAN?SA|1971|2|72.7
17186|MAN?SA|1971|3|68.6
17186|MAN?SA|1971|4|64.9
17186|MAN?SA|1971|5|53.2
17186|MAN?SA|1971|6|46.5
17186|MAN?SA|1971|7|48.0
17186|MAN?SA|1971|8|47.5
17186|MAN?SA|1971|9|51.9
17186|MAN?SA|1971|10|59.7
17186|MAN?SA|1971|11|71.6
17186|MAN?SA|1971|12|70.8
17186|MAN?SA|1971|13|61.0
17186|MAN?SA|1972|1|71.7
17186|MAN?SA|1972|2|67.2
17186|MAN?SA|1972|3|61.3
17186|MAN?SA|1972|4|61.1
17186|MAN?SA|1972|5|53.9
17186|MAN?SA|1972|6|46.8
17186|MAN?SA|1972|7|50.8
17186|MAN?SA|1972|8|48.0
17186|MAN?SA|1972|9|53.6
17186|MAN?SA|1972|10|73.9
17186|MAN?SA|1972|11|68.4
17186|MAN?SA|1972|12|65.8
17186|MAN?SA|1972|13|60.2
17186|MAN?SA|1973|1|68.0
17186|MAN?SA|1973|2|69.8
17186|MAN?SA|1973|3|65.6
17186|MAN?SA|1973|4|65.5
17186|MAN?SA|1973|5|53.5
17186|MAN?SA|1973|6|46.7
17186|MAN?SA|1973|7|44.6
17186|MAN?SA|1973|8|51.3
17186|MAN?SA|1973|9|52.3
17186|MAN?SA|1973|10|60.1
17186|MAN?SA|1973|11|64.7
17186|MAN?SA|1973|12|79.1
17186|MAN?SA|1973|13|60.1
17186|MAN?SA|1974|1|66.3
17186|MAN?SA|1974|2|65.8
17186|MAN?SA|1974|3|63.2
17186|MAN?SA|1974|4|60.0
17186|MAN?SA|1974|5|54.0
17186|MAN?SA|1974|6|48.5
17186|MAN?SA|1974|7|45.1
17186|MAN?SA|1974|8|53.5
17186|MAN?SA|1974|9|52.2
17186|MAN?SA|1974|10|61.6
17186|MAN?SA|1974|11|74.9
17186|MAN?SA|1974|12|68.2
17186|MAN?SA|1974|13|59.4
17186|MAN?SA|1975|1|64.8
17186|MAN?SA|1975|2|65.0
17186|MAN?SA|1975|3|63.7
17186|MAN?SA|1975|4|60.8
17186|MAN?SA|1975|5|63.3
17186|MAN?SA|1975|6|54.0
17186|MAN?SA|1975|7|47.3
17186|MAN?SA|1975|8|54.1
17186|MAN?SA|1975|9|50.1
17186|MAN?SA|1975|10|60.8
17186|MAN?SA|1975|11|68.2
17186|MAN?SA|1975|12|71.9
17186|MAN?SA|1975|13|60.3
17186|MAN?SA|1976|1|68.3
17186|MAN?SA|1976|2|66.6
17186|MAN?SA|1976|3|67.1
17186|MAN?SA|1976|4|64.9
17186|MAN?SA|1976|5|58.9
17186|MAN?SA|1976|6|49.8
17186|MAN?SA|1976|7|49.2
17186|MAN?SA|1976|8|53.6
17186|MAN?SA|1976|9|53.0
17186|MAN?SA|1976|10|68.0
17186|MAN?SA|1976|11|73.3
17186|MAN?SA|1976|12|68.7
17186|MAN?SA|1976|13|61.8
17186|MAN?SA|1977|1|70.0
17186|MAN?SA|1977|2|64.9
17186|MAN?SA|1977|3|63.0
17186|MAN?SA|1977|4|55.6
17186|MAN?SA|1977|5|50.1
17186|MAN?SA|1977|6|46.0
17186|MAN?SA|1977|7|42.6
17186|MAN?SA|1977|8|42.5
17186|MAN?SA|1977|9|54.4
17186|MAN?SA|1977|10|60.4
17186|MAN?SA|1977|11|67.1
17186|MAN?SA|1977|12|65.5
17186|MAN?SA|1977|13|56.8
17186|MAN?SA|1978|1|70.6
17186|MAN?SA|1978|2|66.4
17186|MAN?SA|1978|3|63.0
17186|MAN?SA|1978|4|63.0
17186|MAN?SA|1978|5|52.8
17186|MAN?SA|1978|6|46.0
17186|MAN?SA|1978|7|43.0
17186|MAN?SA|1978|8|45.7
17186|MAN?SA|1978|9|59.7
17186|MAN?SA|1978|10|65.2
17186|MAN?SA|1978|11|58.1
17186|MAN?SA|1978|12|71.1
17186|MAN?SA|1978|13|58.7
17186|MAN?SA|1979|1|67.2
17186|MAN?SA|1979|2|63.4
17186|MAN?SA|1979|3|64.1
17186|MAN?SA|1979|4|56.3
17186|MAN?SA|1979|5|58.9
17186|MAN?SA|1979|6|43.6
17186|MAN?SA|1979|7|43.1
17186|MAN?SA|1979|8|46.9
17186|MAN?SA|1979|9|49.7
17186|MAN?SA|1979|10|60.4
17186|MAN?SA|1979|11|71.1
17186|MAN?SA|1979|12|72.8
17186|MAN?SA|1979|13|58.1
17186|MAN?SA|1980|1|71.1
17186|MAN?SA|1980|2|65.5
17186|MAN?SA|1980|3|63.2
17186|MAN?SA|1980|4|59.1
17186|MAN?SA|1980|5|55.9
17186|MAN?SA|1980|6|49.7
17186|MAN?SA|1980|7|48.5
17186|MAN?SA|1980|8|51.8
17186|MAN?SA|1980|9|55.7
17186|MAN?SA|1980|10|62.3
17186|MAN?SA|1980|11|75.1
17186|MAN?SA|1980|12|74.5
17186|MAN?SA|1980|13|61.0
17186|MAN?SA|1981|1|80.4
17186|MAN?SA|1981|2|71.5
17186|MAN?SA|1981|3|66.1
17186|MAN?SA|1981|4|58.1
17186|MAN?SA|1981|5|59.0
17186|MAN?SA|1981|6|47.3
17186|MAN?SA|1981|7|50.3
17186|MAN?SA|1981|8|53.9
17186|MAN?SA|1981|9|56.9
17186|MAN?SA|1981|10|62.6
17186|MAN?SA|1981|11|71.6
17186|MAN?SA|1981|12|74.5
17186|MAN?SA|1981|13|62.6
17186|MAN?SA|1982|1|71.7
17186|MAN?SA|1982|2|69.5
17186|MAN?SA|1982|3|67.9
17186|MAN?SA|1982|4|69.6
17186|MAN?SA|1982|5|63.6
17186|MAN?SA|1982|6|47.7
17186|MAN?SA|1982|7|48.2
17186|MAN?SA|1982|8|53.0
17186|MAN?SA|1982|9|55.1
17186|MAN?SA|1982|10|64.8
17186|MAN?SA|1982|11|65.1
17186|MAN?SA|1982|12|73.6
17186|MAN?SA|1982|13|62.5
17186|MAN?SA|1983|1|71.4
17186|MAN?SA|1983|2|66.0
17186|MAN?SA|1983|3|64.9
17186|MAN?SA|1983|4|55.9
17186|MAN?SA|1983|5|56.5
17186|MAN?SA|1983|6|48.6
17186|MAN?SA|1983|7|51.4
17186|MAN?SA|1983|8|51.7
17186|MAN?SA|1983|9|54.4
17186|MAN?SA|1983|10|63.1
17186|MAN?SA|1983|11|71.3
17186|MAN?SA|1983|12|82.7
17186|MAN?SA|1983|13|61.5
17186|MAN?SA|1984|1|79.9
17186|MAN?SA|1984|2|76.7
17186|MAN?SA|1984|3|68.7
17186|MAN?SA|1984|4|65.9
17186|MAN?SA|1984|5|50.5
17186|MAN?SA|1984|6|47.1
17186|MAN?SA|1984|7|46.9
17186|MAN?SA|1984|8|50.2
17186|MAN?SA|1984|9|51.6
