Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_ORTALAMA_RUZGAR_HIZI
17186|MAN?SA|1960|1|3.0
17186|MAN?SA|1960|2|3.0
17186|MAN?SA|1960|3|2.9
17186|MAN?SA|1960|4|2.1
17186|MAN?SA|1960|5|2.4
17186|MAN?SA|1960|6|2.2
17186|MAN?SA|1960|7|2.7
17186|MAN?SA|1960|8|2.3
17186|MAN?SA|1960|9|2.6
17186|MAN?SA|1960|10|1.8
17186|MAN?SA|1960|11|1.4
17186|MAN?SA|1960|12|2.0
17186|MAN?SA|1961|1|2.2
17186|MAN?SA|1961|2|3.4
17186|MAN?SA|1961|3|2.9
17186|MAN?SA|1961|4|2.0
17186|MAN?SA|1961|5|2.7
17186|MAN?SA|1961|6|2.5
17186|MAN?SA|1961|7|3.0
17186|MAN?SA|1961|8|2.6
17186|MAN?SA|1961|9|2.4
17186|MAN?SA|1961|10|1.5
17186|MAN?SA|1961|11|0.9
17186|MAN?SA|1961|12|1.6
17186|MAN?SA|1962|1|1.9
17186|MAN?SA|1962|2|2.1
17186|MAN?SA|1962|3|2.7
17186|MAN?SA|1962|4|2.6
17186|MAN?SA|1962|5|1.8
17186|MAN?SA|1962|6|2.3
17186|MAN?SA|1962|7|2.4
17186|MAN?SA|1962|8|2.2
17186|MAN?SA|1962|9|1.7
17186|MAN?SA|1962|10|1.3
17186|MAN?SA|1962|11|0.9
17186|MAN?SA|1962|12|2.5
17186|MAN?SA|1963|1|2.5
17186|MAN?SA|1963|2|3.3
17186|MAN?SA|1963|3|2.2
17186|MAN?SA|1963|4|2.0
17186|MAN?SA|1963|5|1.5
17186|MAN?SA|1963|6|1.5
17186|MAN?SA|1963|7|2.4
17186|MAN?SA|1963|8|2.1
17186|MAN?SA|1963|9|2.0
17186|MAN?SA|1963|10|1.2
17186|MAN?SA|1963|11|0.5
17186|MAN?SA|1963|12|3.4
17186|MAN?SA|1964|1|1.8
17186|MAN?SA|1964|2|1.7
17186|MAN?SA|1964|3|1.3
17186|MAN?SA|1964|4|2.4
17186|MAN?SA|1964|5|1.8
17186|MAN?SA|1964|6|1.8
17186|MAN?SA|1964|7|2.5
17186|MAN?SA|1964|8|2.1
17186|MAN?SA|1964|9|1.6
17186|MAN?SA|1964|10|1.2
17186|MAN?SA|1964|11|0.5
17186|MAN?SA|1964|12|2.1
17186|MAN?SA|1965|1|1.5
17186|MAN?SA|1965|2|2.1
17186|MAN?SA|1965|3|1.1
17186|MAN?SA|1965|4|1.5
17186|MAN?SA|1965|5|0.7
17186|MAN?SA|1965|6|1.5
17186|MAN?SA|1965|7|1.8
17186|MAN?SA|1965|8|2.2
17186|MAN?SA|1965|9|1.4
17186|MAN?SA|1965|10|2.1
17186|MAN?SA|1965|11|2.3
17186|MAN?SA|1965|12|1.6
17186|MAN?SA|1966|1|2.2
17186|MAN?SA|1966|2|1.4
17186|MAN?SA|1966|3|2.2
17186|MAN?SA|1966|4|1.6
17186|MAN?SA|1966|5|2.1
17186|MAN?SA|1966|6|1.5
17186|MAN?SA|1966|7|1.8
17186|MAN?SA|1966|8|1.7
17186|MAN?SA|1966|9|1.3
17186|MAN?SA|1966|10|1.0
17186|MAN?SA|1966|11|2.2
17186|MAN?SA|1966|12|2.4
17186|MAN?SA|1967|1|3.0
17186|MAN?SA|1967|2|2.3
17186|MAN?SA|1967|3|2.8
17186|MAN?SA|1967|4|2.6
17186|MAN?SA|1967|5|2.7
17186|MAN?SA|1967|6|3.1
