Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_SICAKLIK_?C
17186|MAN?SA|1960|1|8.5
17186|MAN?SA|1960|2|8.9
17186|MAN?SA|1960|3|10.0
17186|MAN?SA|1960|4|14.0
17186|MAN?SA|1960|5|20.4
17186|MAN?SA|1960|6|23.5
17186|MAN?SA|1960|7|26.7
17186|MAN?SA|1960|8|27.1
17186|MAN?SA|1960|9|22.3
17186|MAN?SA|1960|10|19.9
17186|MAN?SA|1960|11|13.6
17186|MAN?SA|1960|12|11.4
17186|MAN?SA|1960|13|17.2
17186|MAN?SA|1961|1|6.5
17186|MAN?SA|1961|2|7.1
17186|MAN?SA|1961|3|10.7
17186|MAN?SA|1961|4|16.6
17186|MAN?SA|1961|5|19.8
17186|MAN?SA|1961|6|24.3
17186|MAN?SA|1961|7|26.8
17186|MAN?SA|1961|8|27.2
17186|MAN?SA|1961|9|21.5
17186|MAN?SA|1961|10|16.7
17186|MAN?SA|1961|11|13.3
17186|MAN?SA|1961|12|8.7
17186|MAN?SA|1961|13|16.7
17186|MAN?SA|1962|1|7.6
17186|MAN?SA|1962|2|6.8
17186|MAN?SA|1962|3|12.5
17186|MAN?SA|1962|4|14.3
17186|MAN?SA|1962|5|21.2
17186|MAN?SA|1962|6|25.1
17186|MAN?SA|1962|7|27.0
17186|MAN?SA|1962|8|28.4
17186|MAN?SA|1962|9|23.3
17186|MAN?SA|1962|10|18.1
17186|MAN?SA|1962|11|15.6
17186|MAN?SA|1962|12|10.1
17186|MAN?SA|1962|13|17.6
17186|MAN?SA|1963|1|8.1
17186|MAN?SA|1963|2|11.3
17186|MAN?SA|1963|3|9.2
17186|MAN?SA|1963|4|14.3
17186|MAN?SA|1963|5|19.0
17186|MAN?SA|1963|6|25.2
17186|MAN?SA|1963|7|28.1
17186|MAN?SA|1963|8|28.7
17186|MAN?SA|1963|9|24.4
17186|MAN?SA|1963|10|18.0
17186|MAN?SA|1963|11|13.1
17186|MAN?SA|1963|12|10.2
17186|MAN?SA|1963|13|17.5
17186|MAN?SA|1964|1|2.6
17186|MAN?SA|1964|2|6.5
17186|MAN?SA|1964|3|10.3
17186|MAN?SA|1964|4|15.2
17186|MAN?SA|1964|5|19.1
17186|MAN?SA|1964|6|25.0
17186|MAN?SA|1964|7|27.1
17186|MAN?SA|1964|8|26.1
17186|MAN?SA|1964|9|21.8
17186|MAN?SA|1964|10|19.2
17186|MAN?SA|1964|11|11.8
17186|MAN?SA|1964|12|9.9
17186|MAN?SA|1964|13|16.2
17186|MAN?SA|1965|1|7.2
17186|MAN?SA|1965|2|6.1
17186|MAN?SA|1965|3|10.7
17186|MAN?SA|1965|4|13.7
17186|MAN?SA|1965|5|18.5
17186|MAN?SA|1965|6|25.5
17186|MAN?SA|1965|7|27.2
17186|MAN?SA|1965|8|25.5
17186|MAN?SA|1965|9|24.0
17186|MAN?SA|1965|10|15.8
17186|MAN?SA|1965|11|13.6
17186|MAN?SA|1965|12|10.1
17186|MAN?SA|1965|13|16.5
17186|MAN?SA|1966|1|8.5
17186|MAN?SA|1966|2|11.1
17186|MAN?SA|1966|3|10.7
17186|MAN?SA|1966|4|16.1
17186|MAN?SA|1966|5|19.3
17186|MAN?SA|1966|6|24.0
17186|MAN?SA|1966|7|27.6
17186|MAN?SA|1966|8|27.8
17186|MAN?SA|1966|9|22.4
17186|MAN?SA|1966|10|20.3
17186|MAN?SA|1966|11|15.7
17186|MAN?SA|1966|12|9.1
17186|MAN?SA|1966|13|17.7
17186|MAN?SA|1967|1|6.2
17186|MAN?SA|1967|2|4.8
17186|MAN?SA|1967|3|9.5
17186|MAN?SA|1967|4|14.7
17186|MAN?SA|1967|5|19.6
17186|MAN?SA|1967|6|23.7
17186|MAN?SA|1967|7|27.1
17186|MAN?SA|1967|8|27.6
17186|MAN?SA|1967|9|22.8
17186|MAN?SA|1967|10|17.7
17186|MAN?SA|1967|11|11.1
17186|MAN?SA|1967|12|9.2
17186|MAN?SA|1967|13|16.2
17186|MAN?SA|1968|1|5.7
17186|MAN?SA|1968|2|8.6
17186|MAN?SA|1968|3|9.4
17186|MAN?SA|1968|4|16.6
17186|MAN?SA|1968|5|22.8
17186|MAN?SA|1968|6|24.0
17186|MAN?SA|1968|7|27.3
17186|MAN?SA|1968|8|25.3
17186|MAN?SA|1968|9|22.0
17186|MAN?SA|1968|10|16.6
17186|MAN?SA|1968|11|12.2
17186|MAN?SA|1968|12|9.1
17186|MAN?SA|1968|13|16.7
17186|MAN?SA|1969|1|5.8
17186|MAN?SA|1969|2|9.4
17186|MAN?SA|1969|3|10.0
17186|MAN?SA|1969|4|12.4
17186|MAN?SA|1969|5|21.5
17186|MAN?SA|1969|6|25.4
17186|MAN?SA|1969|7|25.1
17186|MAN?SA|1969|8|26.8
17186|MAN?SA|1969|9|24.3
17186|MAN?SA|1969|10|17.6
17186|MAN?SA|1969|11|13.3
17186|MAN?SA|1969|12|10.6
17186|MAN?SA|1969|13|16.9
17186|MAN?SA|1970|1|8.7
17186|MAN?SA|1970|2|11.2
17186|MAN?SA|1970|3|11.9
17186|MAN?SA|1970|4|16.4
17186|MAN?SA|1970|5|18.9
17186|MAN?SA|1970|6|24.6
17186|MAN?SA|1970|7|27.4
17186|MAN?SA|1970|8|27.2
17186|MAN?SA|1970|9|22.8
17186|MAN?SA|1970|10|16.0
17186|MAN?SA|1970|11|12.0
17186|MAN?SA|1970|12|7.3
17186|MAN?SA|1970|13|17.1
17186|MAN?SA|1971|1|10.0
17186|MAN?SA|1971|2|7.4
17186|MAN?SA|1971|3|10.9
17186|MAN?SA|1971|4|13.7
17186|MAN?SA|1971|5|20.8
17186|MAN?SA|1971|6|24.5
17186|MAN?SA|1971|7|26.0
17186|MAN?SA|1971|8|27.0
17186|MAN?SA|1971|9|22.6
17186|MAN?SA|1971|10|15.3
17186|MAN?SA|1971|11|11.9
17186|MAN?SA|1971|12|6.8
17186|MAN?SA|1971|13|16.4
17186|MAN?SA|1972|1|4.9
17186|MAN?SA|1972|2|7.3
17186|MAN?SA|1972|3|10.4
17186|MAN?SA|1972|4|17.2
17186|MAN?SA|1972|5|20.2
17186|MAN?SA|1972|6|25.3
17186|MAN?SA|1972|7|27.2
17186|MAN?SA|1972|8|26.6
17186|MAN?SA|1972|9|22.8
17186|MAN?SA|1972|10|14.9
17186|MAN?SA|1972|11|11.8
17186|MAN?SA|1972|12|5.3
17186|MAN?SA|1972|13|16.2
17186|MAN?SA|1973|1|6.0
17186|MAN?SA|1973|2|9.7
17186|MAN?SA|1973|3|9.3
17186|MAN?SA|1973|4|14.1
17186|MAN?SA|1973|5|20.4
17186|MAN?SA|1973|6|23.8
17186|MAN?SA|1973|7|28.1
17186|MAN?SA|1973|8|26.0
17186|MAN?SA|1973|9|24.1
17186|MAN?SA|1973|10|18.8
17186|MAN?SA|1973|11|10.0
17186|MAN?SA|1973|12|8.4
17186|MAN?SA|1973|13|16.6
17186|MAN?SA|1974|1|3.2
17186|MAN?SA|1974|2|8.1
17186|MAN?SA|1974|3|11.1
17186|MAN?SA|1974|4|13.1
17186|MAN?SA|1974|5|19.1
17186|MAN?SA|1974|6|24.5
17186|MAN?SA|1974|7|27.4
17186|MAN?SA|1974|8|26.4
17186|MAN?SA|1974|9|22.9
17186|MAN?SA|1974|10|20.0
17186|MAN?SA|1974|11|11.4
17186|MAN?SA|1974|12|6.1
17186|MAN?SA|1974|13|16.2
17186|MAN?SA|1975|1|5.1
17186|MAN?SA|1975|2|6.0
17186|MAN?SA|1975|3|12.3
17186|MAN?SA|1975|4|15.9
17186|MAN?SA|1975|5|19.6
17186|MAN?SA|1975|6|24.2
17186|MAN?SA|1975|7|27.8
17186|MAN?SA|1975|8|26.3
17186|MAN?SA|1975|9|23.8
17186|MAN?SA|1975|10|17.7
17186|MAN?SA|1975|11|11.5
17186|MAN?SA|1975|12|5.7
17186|MAN?SA|1975|13|16.4
17186|MAN?SA|1976|1|5.5
17186|MAN?SA|1976|2|5.5
17186|MAN?SA|1976|3|9.2
17186|MAN?SA|1976|4|13.9
17186|MAN?SA|1976|5|19.5
17186|MAN?SA|1976|6|23.3
17186|MAN?SA|1976|7|25.8
17186|MAN?SA|1976|8|23.9
17186|MAN?SA|1976|9|21.4
17186|MAN?SA|1976|10|17.6
17186|MAN?SA|1976|11|11.9
17186|MAN?SA|1976|12|7.7
17186|MAN?SA|1976|13|15.5
17186|MAN?SA|1977|1|6.8
17186|MAN?SA|1977|2|11.0
17186|MAN?SA|1977|3|9.8
17186|MAN?SA|1977|4|14.7
17186|MAN?SA|1977|5|21.0
17186|MAN?SA|1977|6|25.5
17186|MAN?SA|1977|7|28.1
17186|MAN?SA|1977|8|27.4
17186|MAN?SA|1977|9|21.8
17186|MAN?SA|1977|10|14.3
17186|MAN?SA|1977|11|13.6
17186|MAN?SA|1977|12|6.7
17186|MAN?SA|1977|13|16.8
17186|MAN?SA|1978|1|6.1
17186|MAN?SA|1978|2|10.2
17186|MAN?SA|1978|3|11.2
17186|MAN?SA|1978|4|14.1
17186|MAN?SA|1978|5|19.8
17186|MAN?SA|1978|6|25.4
17186|MAN?SA|1978|7|27.7
17186|MAN?SA|1978|8|25.5
17186|MAN?SA|1978|9|20.7
17186|MAN?SA|1978|10|16.7
17186|MAN?SA|1978|11|10.2
17186|MAN?SA|1978|12|8.4
17186|MAN?SA|1978|13|16.4
17186|MAN?SA|1979|1|7.5
17186|MAN?SA|1979|2|8.9
17186|MAN?SA|1979|3|11.9
17186|MAN?SA|1979|4|14.1
17186|MAN?SA|1979|5|19.6
17186|MAN?SA|1979|6|25.7
17186|MAN?SA|1979|7|26.9
17186|MAN?SA|1979|8|26.7
17186|MAN?SA|1979|9|23.3
17186|MAN?SA|1979|10|17.8
17186|MAN?SA|1979|11|11.9
17186|MAN?SA|1979|12|7.8
17186|MAN?SA|1979|13|16.9
17186|MAN?SA|1980|1|5.1
17186|MAN?SA|1980|2|6.4
17186|MAN?SA|1980|3|8.8
17186|MAN?SA|1980|4|13.1
17186|MAN?SA|1980|5|18.4
17186|MAN?SA|1980|6|23.6
17186|MAN?SA|1980|7|28.0
17186|MAN?SA|1980|8|26.9
17186|MAN?SA|1980|9|21.8
17186|MAN?SA|1980|10|19.1
17186|MAN?SA|1980|11|13.3
17186|MAN?SA|1980|12|8.9
17186|MAN?SA|1980|13|16.2
17186|MAN?SA|1981|1|6.4
17186|MAN?SA|1981|2|6.9
17186|MAN?SA|1981|3|12.4
17186|MAN?SA|1981|4|15.3
17186|MAN?SA|1981|5|18.3
17186|MAN?SA|1981|6|26.7
17186|MAN?SA|1981|7|26.8
17186|MAN?SA|1981|8|26.7
17186|MAN?SA|1981|9|23.4
17186|MAN?SA|1981|10|20.1
17186|MAN?SA|1981|11|9.9
17186|MAN?SA|1981|12|12.3
17186|MAN?SA|1981|13|17.2
17186|MAN?SA|1982|1|7.8
17186|MAN?SA|1982|2|5.1
17186|MAN?SA|1982|3|8.9
17186|MAN?SA|1982|4|14.1
17186|MAN?SA|1982|5|18.8
17186|MAN?SA|1982|6|25.1
17186|MAN?SA|1982|7|25.7
17186|MAN?SA|1982|8|26.5
17186|MAN?SA|1982|9|24.6
17186|MAN?SA|1982|10|17.6
17186|MAN?SA|1982|11|10.4
17186|MAN?SA|1982|12|8.9
17186|MAN?SA|1982|13|16.2
17186|MAN?SA|1983|1|4.5
17186|MAN?SA|1983|2|6.0
17186|MAN?SA|1983|3|10.1
17186|MAN?SA|1983|4|16.7
17186|MAN?SA|1983|5|20.6
17186|MAN?SA|1983|6|23.7
17186|MAN?SA|1983|7|27.1
17186|MAN?SA|1983|8|25.4
17186|MAN?SA|1983|9|22.2
17186|MAN?SA|1983|10|16.4
17186|MAN?SA|1983|11|11.8
17186|MAN?SA|1983|12|8.7
17186|MAN?SA|1983|13|16.1
17186|MAN?SA|1984|1|7.6
17186|MAN?SA|1984|2|8.2
17186|MAN?SA|1984|3|10.2
17186|MAN?SA|1984|4|12.9
17186|MAN?SA|1984|5|21.3
17186|MAN?SA|1984|6|24.4
17186|MAN?SA|1984|7|26.5
17186|MAN?SA|1984|8|25.0
17186|MAN?SA|1984|9|24.1
17186|MAN?SA|1984|10|18.8
17186|MAN?SA|1984|11|12.3
17186|MAN?SA|1984|12|6.5
17186|MAN?SA|1984|13|16.5
17186|MAN?SA|1985|1|9.7
17186|MAN?SA|1985|2|4.2
17186|MAN?SA|1985|3|10.0
17186|MAN?SA|1985|4|16.5
17186|MAN?SA|1985|5|22.1
17186|MAN?SA|1985|6|24.9
17186|MAN?SA|1985|7|26.8
17186|MAN?SA|1985|8|28.0
17186|MAN?SA|1985|9|23.2
17186|MAN?SA|1985|10|15.4
17186|MAN?SA|1985|11|13.8
17186|MAN?SA|1985|12|7.9
17186|MAN?SA|1985|13|17.0
17186|MAN?SA|1986|1|8.8
17186|MAN?SA|1986|2|9.3
17186|MAN?SA|1986|3|9.9
17186|MAN?SA|1986|4|17.2
17186|MAN?SA|1986|5|19.7
17186|MAN?SA|1986|6|25.1
17186|MAN?SA|1986|7|27.8
17186|MAN?SA|1986|8|28.6
17186|MAN?SA|1986|9|24.3
17186|MAN?SA|1986|10|16.7
17186|MAN?SA|1986|11|9.1
17186|MAN?SA|1986|12|6.5
17186|MAN?SA|1986|13|17.0
17186|MAN?SA|1987|1|8.0
17186|MAN?SA|1987|2|8.1
17186|MAN?SA|1987|3|6.1
17186|MAN?SA|1987|4|12.9
17186|MAN?SA|1987|5|18.6
17186|MAN?SA|1987|6|25.0
17186|MAN?SA|1987|7|28.9
17186|MAN?SA|1987|8|26.6
17186|MAN?SA|1987|9|24.5
17186|MAN?SA|1987|10|16.5
17186|MAN?SA|1987|11|10.9
17186|MAN?SA|1987|12|7.4
17186|MAN?SA|1987|13|16.2
17186|MAN?SA|1988|1|7.1
17186|MAN?SA|1988|2|7.4
17186|MAN?SA|1988|3|9.6
17186|MAN?SA|1988|4|14.2
17186|MAN?SA|1988|5|20.6
17186|MAN?SA|1988|6|25.7
17186|MAN?SA|1988|7|29.7
17186|MAN?SA|1988|8|28.2
17186|MAN?SA|1988|9|23.3
17186|MAN?SA|1988|10|16.7
17186|MAN?SA|1988|11|9.2
17186|MAN?SA|1988|12|8.0
17186|MAN?SA|1988|13|16.7
17186|MAN?SA|1989|1|4.5
17186|MAN?SA|1989|2|7.8
17186|MAN?SA|1989|3|12.0
17186|MAN?SA|1989|4|18.9
17186|MAN?SA|1989|5|19.2
17186|MAN?SA|1989|6|24.2
