Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_ACIK_YUZEY_BUHARLASMASI_mm
17186|MAN?SA|2012|12|0.5
17186|MAN?SA|2012|13|0.5
17186|MAN?SA|2014|9|9.6
17186|MAN?SA|2014|11|4.3
17186|MAN?SA|2014|13|13.9
17186|MAN?SA|2015|10|6.9
17186|MAN?SA|2015|13|6.9
17186|MAN?SA|2016|4|149.2
17186|MAN?SA|2016|5|166.5
17186|MAN?SA|2016|6|253.4
17186|MAN?SA|2016|7|319.0
17186|MAN?SA|2016|8|256.6
17186|MAN?SA|2016|9|187.8
17186|MAN?SA|2016|10|114.5
17186|MAN?SA|2016|11|34.1
17186|MAN?SA|2016|13|1481.1
17186|MAN?SA|2017|4|112.6
17186|MAN?SA|2017|5|162.2
17186|MAN?SA|2017|6|189.3
17186|MAN?SA|2017|7|251.4
17186|MAN?SA|2017|8|248.6
17186|MAN?SA|2017|9|166.2
17186|MAN?SA|2017|10|102.0
17186|MAN?SA|2017|11|27.2
17186|MAN?SA|2017|12|3.9
17186|MAN?SA|2017|13|1263.4
17186|MAN?SA|2018|4|132.6
17186|MAN?SA|2018|5|181.1
17186|MAN?SA|2018|6|206.4
17186|MAN?SA|2018|7|245.3
17186|MAN?SA|2018|8|255.5
17186|MAN?SA|2018|9|168.7
17186|MAN?SA|2018|10|79.3
17186|MAN?SA|2018|11|57.7
17186|MAN?SA|2018|12|4.3
17186|MAN?SA|2018|13|1330.9
17186|MAN?SA|2019|4|107.8
17186|MAN?SA|2019|5|185.4
17186|MAN?SA|2019|6|252.2
17186|MAN?SA|2019|7|254.0
17186|MAN?SA|2019|8|273.2
17186|MAN?SA|2019|9|166.5
17186|MAN?SA|2019|10|90.9
17186|MAN?SA|2019|11|31.2
17186|MAN?SA|2019|12|9.4
17186|MAN?SA|2019|13|1370.6
17186|MAN?SA|2020|3|2.5
17186|MAN?SA|2020|4|106.3
17186|MAN?SA|2020|5|128.9
17186|MAN?SA|2020|6|169.8
17186|MAN?SA|2020|7|278.4
17186|MAN?SA|2020|8|263.7
17186|MAN?SA|2020|9|192.6
17186|MAN?SA|2020|10|87.9
17186|MAN?SA|2020|11|36.1
17186|MAN?SA|2020|13|1266.2
17186|MAN?SA|2021|4|88.4
17186|MAN?SA|2021|5|180.0
17186|MAN?SA|2021|6|193.2
17237|DEN?ZL?|1971|9|129.4
17237|DEN?ZL?|1971|10|73.6
17237|DEN?ZL?|1971|11|41.4
17237|DEN?ZL?|1971|12|7.4
17237|DEN?ZL?|1971|13|251.8
17237|DEN?ZL?|1972|4|110.3
17237|DEN?ZL?|1972|5|157.2
17237|DEN?ZL?|1972|6|172.2
17237|DEN?ZL?|1972|7|202.8
17237|DEN?ZL?|1972|8|200.9
17237|DEN?ZL?|1972|9|144.4
17237|DEN?ZL?|1972|10|55.2
17237|DEN?ZL?|1972|11|33.9
17237|DEN?ZL?|1972|13|1076.9
17237|DEN?ZL?|1974|4|103.8
17237|DEN?ZL?|1974|5|156.3
17237|DEN?ZL?|1974|6|213.8
17237|DEN?ZL?|1974|7|269.0
17237|DEN?ZL?|1974|8|222.3
17237|DEN?ZL?|1974|9|163.0
17237|DEN?ZL?|1974|10|104.1
17237|DEN?ZL?|1974|11|34.4
17237|DEN?ZL?|1974|13|1266.7
17237|DEN?ZL?|1975|4|77.2
17237|DEN?ZL?|1975|5|106.3
17237|DEN?ZL?|1975|6|166.1
17237|DEN?ZL?|1975|7|251.0
17237|DEN?ZL?|1975|8|213.3
17237|DEN?ZL?|1975|9|153.5
17237|DEN?ZL?|1975|10|109.2
17237|DEN?ZL?|1975|11|52.3
17237|DEN?ZL?|1975|13|1128.9
17237|DEN?ZL?|1976|4|70.5
17237|DEN?ZL?|1976|5|121.6
17237|DEN?ZL?|1976|6|209.8
17237|DEN?ZL?|1976|7|224.8
17237|DEN?ZL?|1976|8|198.5
17237|DEN?ZL?|1976|9|167.9
17237|DEN?ZL?|1976|10|89.6
17237|DEN?ZL?|1976|11|39.0
17237|DEN?ZL?|1976|13|1121.7
17237|DEN?ZL?|1977|4|107.8
17237|DEN?ZL?|1977|5|187.3
