Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_GUNESLENME_SURESI
17186|MAN?SA|1964|6|329.9
17186|MAN?SA|1964|7|397.8
17186|MAN?SA|1964|8|361.2
17186|MAN?SA|1964|9|235.5
17186|MAN?SA|1964|10|252.2
17186|MAN?SA|1964|11|120.4
17186|MAN?SA|1964|12|82.0
17186|MAN?SA|1964|13|1779.0
17186|MAN?SA|1965|1|94.4
17186|MAN?SA|1965|2|94.2
17186|MAN?SA|1965|3|134.8
17186|MAN?SA|1965|4|169.4
17186|MAN?SA|1965|5|275.5
17186|MAN?SA|1965|6|376.4
17186|MAN?SA|1965|7|390.9
17186|MAN?SA|1965|8|375.7
17186|MAN?SA|1965|9|300.2
17186|MAN?SA|1965|10|247.4
17186|MAN?SA|1965|11|141.6
17186|MAN?SA|1965|12|76.6
17186|MAN?SA|1965|13|2677.1
17186|MAN?SA|1966|1|63.7
17186|MAN?SA|1966|2|143.7
17186|MAN?SA|1966|3|136.1
17186|MAN?SA|1966|4|193.3
17186|MAN?SA|1966|5|327.9
17186|MAN?SA|1966|6|335.5
17186|MAN?SA|1966|7|392.3
17186|MAN?SA|1966|8|359.5
17186|MAN?SA|1966|9|271.9
17186|MAN?SA|1966|10|219.6
17186|MAN?SA|1966|11|115.6
17186|MAN?SA|1966|12|102.6
17186|MAN?SA|1966|13|2661.7
17186|MAN?SA|1967|1|113.5
17186|MAN?SA|1967|2|147.2
17186|MAN?SA|1967|3|207.3
17186|MAN?SA|1967|4|216.4
17186|MAN?SA|1967|5|283.1
17186|MAN?SA|1967|6|347.4
17186|MAN?SA|1967|7|384.7
17186|MAN?SA|1967|8|376.6
17186|MAN?SA|1967|9|290.0
17186|MAN?SA|1967|10|217.0
17186|MAN?SA|1967|11|145.8
17186|MAN?SA|1967|12|87.1
17186|MAN?SA|1967|13|2816.1
17186|MAN?SA|1968|1|95.3
17186|MAN?SA|1968|2|132.6
17186|MAN?SA|1968|3|178.7
17186|MAN?SA|1968|4|231.5
17186|MAN?SA|1968|5|324.3
17186|MAN?SA|1968|6|310.3
17186|MAN?SA|1968|7|405.6
17186|MAN?SA|1968|8|349.7
17186|MAN?SA|1968|9|267.7
17186|MAN?SA|1968|10|189.0
17186|MAN?SA|1968|11|87.9
17186|MAN?SA|1968|12|65.8
17186|MAN?SA|1968|13|2638.4
17186|MAN?SA|1969|1|70.3
17186|MAN?SA|1969|2|109.3
17186|MAN?SA|1969|3|116.3
17186|MAN?SA|1969|4|216.4
17186|MAN?SA|1969|5|326.2
17186|MAN?SA|1969|6|315.0
17186|MAN?SA|1969|7|366.3
17186|MAN?SA|1969|8|375.4
17186|MAN?SA|1969|9|294.8
17186|MAN?SA|1969|10|248.3
17186|MAN?SA|1969|11|194.3
17186|MAN?SA|1969|12|64.7
17186|MAN?SA|1969|13|2697.3
17186|MAN?SA|1970|1|87.5
17186|MAN?SA|1970|2|135.2
17186|MAN?SA|1970|3|146.3
17186|MAN?SA|1970|4|221.4
17186|MAN?SA|1970|5|314.6
17186|MAN?SA|1970|6|367.8
17186|MAN?SA|1970|7|386.2
17186|MAN?SA|1970|8|373.1
17186|MAN?SA|1970|9|294.7
17186|MAN?SA|1970|10|214.2
17186|MAN?SA|1970|11|152.5
17186|MAN?SA|1970|12|73.9
17186|MAN?SA|1970|13|2767.4
17186|MAN?SA|1971|1|96.1
17186|MAN?SA|1971|2|99.6
17186|MAN?SA|1971|3|135.1
17186|MAN?SA|1971|4|200.2
17186|MAN?SA|1971|5|288.4
17186|MAN?SA|1971|6|355.7
17186|MAN?SA|1971|7|365.3
