Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_TOPLAM_YAGIS_mm_Manuel
17186|MAN?SA|1960|1|174.5
17186|MAN?SA|1960|2|57.6
17186|MAN?SA|1960|3|54.3
17186|MAN?SA|1960|4|55.5
17186|MAN?SA|1960|5|29.8
17186|MAN?SA|1960|6|15.1
17186|MAN?SA|1960|7|0.0
17186|MAN?SA|1960|9|4.3
17186|MAN?SA|1960|10|5.2
17186|MAN?SA|1960|11|126.1
17186|MAN?SA|1960|12|325.7
17186|MAN?SA|1960|13|848.1
17186|MAN?SA|1961|1|108.6
17186|MAN?SA|1961|2|99.9
17186|MAN?SA|1961|3|30.6
17186|MAN?SA|1961|4|140.0
17186|MAN?SA|1961|5|25.8
17186|MAN?SA|1961|6|47.1
17186|MAN?SA|1961|7|0.0
17186|MAN?SA|1961|8|0.1
17186|MAN?SA|1961|9|0.5
17186|MAN?SA|1961|10|49.0
17186|MAN?SA|1961|11|68.8
17186|MAN?SA|1961|12|138.2
17186|MAN?SA|1961|13|708.6
17186|MAN?SA|1962|1|79.4
17186|MAN?SA|1962|2|123.7
17186|MAN?SA|1962|3|192.1
17186|MAN?SA|1962|4|86.7
17186|MAN?SA|1962|5|4.6
17186|MAN?SA|1962|6|3.9
17186|MAN?SA|1962|7|25.4
17186|MAN?SA|1962|9|11.5
17186|MAN?SA|1962|10|45.2
17186|MAN?SA|1962|11|162.9
17186|MAN?SA|1962|12|309.4
17186|MAN?SA|1962|13|1044.8
17186|MAN?SA|1963|1|197.4
17186|MAN?SA|1963|2|150.5
17186|MAN?SA|1963|3|41.7
17186|MAN?SA|1963|4|48.3
17186|MAN?SA|1963|5|94.3
17186|MAN?SA|1963|6|1.6
17186|MAN?SA|1963|7|19.6
17186|MAN?SA|1963|10|75.8
17186|MAN?SA|1963|11|26.9
17186|MAN?SA|1963|12|47.3
17186|MAN?SA|1963|13|703.4
17186|MAN?SA|1964|1|34.1
17186|MAN?SA|1964|2|86.7
17186|MAN?SA|1964|3|137.0
17186|MAN?SA|1964|4|0.0
17186|MAN?SA|1964|5|14.2
17186|MAN?SA|1964|6|40.7
17186|MAN?SA|1964|9|55.1
17186|MAN?SA|1964|10|0.3
17186|MAN?SA|1964|11|57.2
17186|MAN?SA|1964|12|186.8
17186|MAN?SA|1964|13|612.1
17186|MAN?SA|1965|1|80.4
17186|MAN?SA|1965|2|347.9
17186|MAN?SA|1965|3|83.6
17186|MAN?SA|1965|4|179.5
17186|MAN?SA|1965|5|80.8
17186|MAN?SA|1965|6|1.4
