Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_TOPLAM_YAGIS_mm
17186|MAN?SA|2005|1|72.4
17186|MAN?SA|2005|2|203.2
17186|MAN?SA|2005|3|83.4
17186|MAN?SA|2005|4|29.6
17186|MAN?SA|2005|5|51.2
17186|MAN?SA|2005|6|61.2
17186|MAN?SA|2005|7|12.4
17186|MAN?SA|2005|8|7.6
17186|MAN?SA|2005|9|13.8
17186|MAN?SA|2005|10|9.2
17186|MAN?SA|2005|11|139.2
17186|MAN?SA|2005|12|86.8
17186|MAN?SA|2005|13|770.0
17186|MAN?SA|2006|1|87.6
17186|MAN?SA|2006|2|118.4
17186|MAN?SA|2006|3|135.4
17186|MAN?SA|2006|4|39.6
17186|MAN?SA|2006|5|3.6
17186|MAN?SA|2006|6|31.2
17186|MAN?SA|2006|7|5.0
17186|MAN?SA|2006|8|2.4
17186|MAN?SA|2006|9|51.0
17186|MAN?SA|2006|10|86.4
17186|MAN?SA|2006|11|41.2
17186|MAN?SA|2006|12|14.4
17186|MAN?SA|2006|13|616.2
17186|MAN?SA|2007|1|37.2
17186|MAN?SA|2007|2|29.4
17186|MAN?SA|2007|3|0.6
17186|MAN?SA|2007|4|1.4
17186|MAN?SA|2007|5|5.4
17186|MAN?SA|2007|6|26.4
17186|MAN?SA|2007|7|0.0
17186|MAN?SA|2007|8|0.0
17186|MAN?SA|2007|9|0.0
17186|MAN?SA|2007|10|33.6
17186|MAN?SA|2007|11|99.8
17186|MAN?SA|2007|12|111.0
17186|MAN?SA|2007|13|344.8
17186|MAN?SA|2008|1|27.2
17186|MAN?SA|2008|2|12.2
17186|MAN?SA|2008|3|80.6
17186|MAN?SA|2008|4|40.8
17186|MAN?SA|2008|5|10.4
17186|MAN?SA|2008|6|16.0
17186|MAN?SA|2008|7|0.0
17186|MAN?SA|2008|8|0.4
17186|MAN?SA|2008|9|45.8
17186|MAN?SA|2008|10|11.6
17186|MAN?SA|2008|11|79.0
17186|MAN?SA|2008|12|83.8
17186|MAN?SA|2008|13|407.8
17186|MAN?SA|2009|1|207.4
17186|MAN?SA|2009|2|209.4
17186|MAN?SA|2009|3|136.4
17186|MAN?SA|2009|4|66.2
17186|MAN?SA|2009|5|28.8
17186|MAN?SA|2009|6|7.2
17186|MAN?SA|2009|7|0.0
17186|MAN?SA|2009|8|0.0
17186|MAN?SA|2009|9|36.4
17186|MAN?SA|2009|10|29.2
17186|MAN?SA|2009|11|119.8
17186|MAN?SA|2009|12|131.6
17186|MAN?SA|2009|13|972.4
17186|MAN?SA|2010|1|160.8
17186|MAN?SA|2010|2|251.6
17186|MAN?SA|2010|3|27.2
17186|MAN?SA|2010|4|33.0
17186|MAN?SA|2010|5|45.8
17186|MAN?SA|2010|6|85.8
17186|MAN?SA|2010|7|0.0
17186|MAN?SA|2010|8|2.8
17186|MAN?SA|2010|9|24.0
17186|MAN?SA|2010|10|269.2
17186|MAN?SA|2010|11|47.0
17186|MAN?SA|2010|12|134.4
17186|MAN?SA|2010|13|1081.6
17186|MAN?SA|2011|1|96.6
17186|MAN?SA|2011|2|95.2
17186|MAN?SA|2011|3|21.0
17186|MAN?SA|2011|4|45.2
17186|MAN?SA|2011|5|48.4
17186|MAN?SA|2011|6|45.2
17186|MAN?SA|2011|7|0.0
17186|MAN?SA|2011|8|0.0
17186|MAN?SA|2011|9|9.0
17186|MAN?SA|2011|10|109.0
17186|MAN?SA|2011|11|4.2
17186|MAN?SA|2011|12|154.6
17186|MAN?SA|2011|13|628.4
17186|MAN?SA|2012|1|92.8
17186|MAN?SA|2012|2|143.0
17186|MAN?SA|2012|3|30.8
17186|MAN?SA|2012|4|78.6
17186|MAN?SA|2012|5|79.4
17186|MAN?SA|2012|6|11.8
17186|MAN?SA|2012|7|0.0
17186|MAN?SA|2012|8|0.0
17186|MAN?SA|2012|9|0.0
17186|MAN?SA|2012|10|19.2
17186|MAN?SA|2012|11|26.6
17186|MAN?SA|2012|12|176.0
17186|MAN?SA|2012|13|658.2
17186|MAN?SA|2013|1|232.0
17186|MAN?SA|2013|2|216.8
17186|MAN?SA|2013|3|76.4
17186|MAN?SA|2013|4|63.8
17186|MAN?SA|2013|5|36.8
17186|MAN?SA|2013|6|41.8
17186|MAN?SA|2013|7|0.0
17186|MAN?SA|2013|8|33.0
17186|MAN?SA|2013|9|9.0
17186|MAN?SA|2013|10|95.2
17186|MAN?SA|2013|11|103.0
17186|MAN?SA|2013|12|15.6
17186|MAN?SA|2013|13|923.4
17186|MAN?SA|2014|1|109.6
17186|MAN?SA|2014|2|17.0
17186|MAN?SA|2014|3|99.6
17186|MAN?SA|2014|4|163.2
17186|MAN?SA|2014|5|33.4
17186|MAN?SA|2014|6|59.6
17186|MAN?SA|2014|7|8.2
17186|MAN?SA|2014|8|14.0
17186|MAN?SA|2014|9|49.2
17186|MAN?SA|2014|10|65.2
17186|MAN?SA|2014|11|11.2
17186|MAN?SA|2014|12|216.3
17186|MAN?SA|2014|13|846.5
17186|MAN?SA|2015|1|176.9
17186|MAN?SA|2015|2|93.4
17186|MAN?SA|2015|3|74.6
17186|MAN?SA|2015|4|31.2
17186|MAN?SA|2015|5|47.4
17186|MAN?SA|2015|6|53.6
17186|MAN?SA|2015|7|0.2
17186|MAN?SA|2015|8|36.2
17186|MAN?SA|2015|9|5.2
17186|MAN?SA|2015|10|94.2
17186|MAN?SA|2015|11|115.9
17186|MAN?SA|2015|12|0.0
17186|MAN?SA|2015|13|728.8
17186|MAN?SA|2016|1|218.1
17186|MAN?SA|2016|2|89.3
17186|MAN?SA|2016|3|140.2
17186|MAN?SA|2016|4|11.2
17186|MAN?SA|2016|5|78.6
17186|MAN?SA|2016|6|27.0
17186|MAN?SA|2016|7|0.0
17186|MAN?SA|2016|8|0.0
17186|MAN?SA|2016|9|6.8
17186|MAN?SA|2016|10|0.2
17186|MAN?SA|2016|11|121.7
17186|MAN?SA|2016|12|31.8
17186|MAN?SA|2016|13|724.9
17186|MAN?SA|2017|1|256.9
17186|MAN?SA|2017|2|39.9
17186|MAN?SA|2017|3|75.4
17186|MAN?SA|2017|4|16.6
17186|MAN?SA|2017|5|47.8
17186|MAN?SA|2017|6|10.4
17186|MAN?SA|2017|7|0.2
17186|MAN?SA|2017|8|2.0
17186|MAN?SA|2017|9|0.1
17186|MAN?SA|2017|10|51.2
17186|MAN?SA|2017|11|55.0
17186|MAN?SA|2017|12|92.4
17186|MAN?SA|2017|13|647.9
17186|MAN?SA|2018|1|62.8
17186|MAN?SA|2018|2|118.1
17186|MAN?SA|2018|3|84.6
17186|MAN?SA|2018|4|6.6
17186|MAN?SA|2018|5|27.3
17186|MAN?SA|2018|6|101.9
17186|MAN?SA|2018|7|10.9
17186|MAN?SA|2018|8|20.1
17186|MAN?SA|2018|9|9.1
17186|MAN?SA|2018|10|71.9
17186|MAN?SA|2018|11|82.4
17186|MAN?SA|2018|12|97.8
17186|MAN?SA|2018|13|693.5
17186|MAN?SA|2019|1|400.6
17186|MAN?SA|2019|2|112.9
17186|MAN?SA|2019|3|40.6
17186|MAN?SA|2019|4|53.9
17186|MAN?SA|2019|5|3.8
17186|MAN?SA|2019|6|29.2
17186|MAN?SA|2019|7|26.2
17186|MAN?SA|2019|8|0.1
17186|MAN?SA|2019|9|25.1
17186|MAN?SA|2019|10|20.8
17186|MAN?SA|2019|11|56.6
17186|MAN?SA|2019|12|72.6
17186|MAN?SA|2019|13|842.4
17186|MAN?SA|2020|1|62.5
17186|MAN?SA|2020|2|94.6
17186|MAN?SA|2020|3|37.8
17186|MAN?SA|2020|4|51.7
17186|MAN?SA|2020|5|72.2
17186|MAN?SA|2020|6|31.0
17186|MAN?SA|2020|7|0.1
17186|MAN?SA|2020|8|0.0
17186|MAN?SA|2020|9|0.0
17186|MAN?SA|2020|10|0.0
17186|MAN?SA|2020|11|0.0
17186|MAN?SA|2020|12|0.0
17186|MAN?SA|2020|13|349.9
17186|MAN?SA|2021|1|67.8
17186|MAN?SA|2021|2|158.5
17186|MAN?SA|2021|3|135.4
17186|MAN?SA|2021|4|43.0
17186|MAN?SA|2021|5|2.0
17186|MAN?SA|2021|6|32.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|1|106.4
17227|AYDIN ?ILDIR HAVAL?MANI|2010|2|129.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|3|15.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|4|16.8
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|40.4
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|19.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|0.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|2.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|9|13.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|10|85.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|11|36.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|12|130.6
17227|AYDIN ?ILDIR HAVAL?MANI|2010|13|594.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|1|114.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|2|62.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|3|25.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|4|34.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|5|75.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|6|21.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|7|0.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|8|3.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|9|43.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|10|52.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|11|1.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|12|72.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|13|506.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|1|132.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|2|132.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|3|33.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|4|53.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|5|42.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|6|10.4
