Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_TOPRAK_NEMI_20
17186|MAN?SA|2007|12|16.3
17186|MAN?SA|2008|1|15.5
17186|MAN?SA|2008|2|15.8
17186|MAN?SA|2008|3|15.3
17186|MAN?SA|2008|4|15.9
17186|MAN?SA|2008|5|15.1
17186|MAN?SA|2008|6|14.8
17186|MAN?SA|2008|7|14.1
17186|MAN?SA|2008|8|12.2
17186|MAN?SA|2008|9|11.9
17186|MAN?SA|2008|10|12.8
17186|MAN?SA|2008|11|13.9
17186|MAN?SA|2008|12|18.2
17186|MAN?SA|2009|1|18.8
17186|MAN?SA|2009|2|19.6
17186|MAN?SA|2009|3|19.3
17186|MAN?SA|2009|4|17.6
17186|MAN?SA|2009|5|16.4
17186|MAN?SA|2009|8|11.1
17186|MAN?SA|2009|9|12.3
17186|MAN?SA|2009|10|11.4
17186|MAN?SA|2009|11|15.5
17186|MAN?SA|2009|12|17.3
17186|MAN?SA|2010|1|17.1
17186|MAN?SA|2010|2|17.1
17186|MAN?SA|2010|3|14.5
17186|MAN?SA|2010|4|11.0
17186|MAN?SA|2010|5|10.8
17186|MAN?SA|2010|6|11.4
17186|MAN?SA|2010|7|8.2
17186|MAN?SA|2010|8|6.5
17186|MAN?SA|2010|9|8.2
17186|MAN?SA|2010|10|12.3
17186|MAN?SA|2010|11|15.3
17186|MAN?SA|2010|12|16.6
17186|MAN?SA|2011|1|16.2
17186|MAN?SA|2011|2|16.4
17186|MAN?SA|2011|3|13.4
17186|MAN?SA|2011|4|12.8
17186|MAN?SA|2011|5|11.5
17186|MAN?SA|2011|6|13.0
17186|MAN?SA|2011|7|10.4
17186|MAN?SA|2011|8|10.9
17186|MAN?SA|2011|9|12.5
17186|MAN?SA|2011|10|12.9
17186|MAN?SA|2011|11|10.3
17186|MAN?SA|2011|12|14.7
17186|MAN?SA|2016|1|15.6
17186|MAN?SA|2016|2|14.5
17186|MAN?SA|2016|3|15.2
17186|MAN?SA|2016|4|10.7
17186|MAN?SA|2016|5|12.7
17186|MAN?SA|2016|6|10.9
17186|MAN?SA|2016|7|10.0
17186|MAN?SA|2016|8|10.0
17186|MAN?SA|2016|9|9.5
17186|MAN?SA|2016|10|9.0
17186|MAN?SA|2016|11|11.4
17186|MAN?SA|2016|12|13.2
17186|MAN?SA|2017|1|16.8
17186|MAN?SA|2017|2|13.9
17186|MAN?SA|2017|3|15.5
17186|MAN?SA|2017|4|13.1
17186|MAN?SA|2017|5|13.8
17186|MAN?SA|2017|6|13.2
17186|MAN?SA|2017|7|9.3
17186|MAN?SA|2017|8|6.9
17186|MAN?SA|2017|9|9.8
17186|MAN?SA|2017|10|13.5
17186|MAN?SA|2017|11|16.6
17186|MAN?SA|2017|12|18.2
17186|MAN?SA|2018|1|18.0
17186|MAN?SA|2018|2|18.2
17186|MAN?SA|2018|3|18.0
17186|MAN?SA|2018|4|13.6
17186|MAN?SA|2018|5|12.8
17186|MAN?SA|2018|6|14.3
17186|MAN?SA|2018|7|11.9
17186|MAN?SA|2018|8|11.4
17186|MAN?SA|2018|9|9.5
17186|MAN?SA|2018|10|15.1
17186|MAN?SA|2018|11|16.1
17186|MAN?SA|2018|12|19.2
17186|MAN?SA|2019|1|20.6
17186|MAN?SA|2019|2|19.5
17186|MAN?SA|2019|3|16.1
17186|MAN?SA|2019|4|15.2
17186|MAN?SA|2019|5|12.2
17186|MAN?SA|2019|6|11.1
17186|MAN?SA|2019|7|11.1
17186|MAN?SA|2019|8|7.9
17186|MAN?SA|2019|9|8.0
17186|MAN?SA|2019|10|7.6
17186|MAN?SA|2019|11|9.0
17186|MAN?SA|2019|12|16.2
17186|MAN?SA|2020|1|14.6
17186|MAN?SA|2020|2|16.6
17186|MAN?SA|2020|3|14.6
17186|MAN?SA|2020|4|13.7
17186|MAN?SA|2020|5|13.4
17186|MAN?SA|2020|7|5.9
17186|MAN?SA|2020|9|4.0
17186|MAN?SA|2020|10|7.9
17186|MAN?SA|2020|11|8.4
17186|MAN?SA|2020|12|13.6
17186|MAN?SA|2021|1|17.3
17186|MAN?SA|2021|2|15.9
17186|MAN?SA|2021|3|14.9
17186|MAN?SA|2021|4|13.6
17186|MAN?SA|2021|5|9.8
17186|MAN?SA|2021|6|9.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|1|1.3
17227|AYDIN ?ILDIR HAVAL?MANI|2010|2|2.4
17227|AYDIN ?ILDIR HAVAL?MANI|2010|3|1.5
17227|AYDIN ?ILDIR HAVAL?MANI|2010|4|2.8
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|25.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|34.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|28.6
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|25.9
17227|AYDIN ?ILDIR HAVAL?MANI|2010|9|25.2
17227|AYDIN ?ILDIR HAVAL?MANI|2010|10|33.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|11|40.6
17227|AYDIN ?ILDIR HAVAL?MANI|2010|12|42.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|1|42.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|2|43.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|3|42.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|4|38.3
17227|AYDIN ?ILDIR HAVAL?MANI|2011|5|35.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|6|43.5
17227|AYDIN ?ILDIR HAVAL?MANI|2011|7|34.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|8|28.6
17227|AYDIN ?ILDIR HAVAL?MANI|2011|9|30.1
17227|AYDIN ?ILDIR HAVAL?MANI|2011|10|38.9
17227|AYDIN ?ILDIR HAVAL?MANI|2011|11|29.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|12|37.5
17227|AYDIN ?ILDIR HAVAL?MANI|2016|1|46.3
17227|AYDIN ?ILDIR HAVAL?MANI|2016|2|45.5
17227|AYDIN ?ILDIR HAVAL?MANI|2016|3|49.5
17227|AYDIN ?ILDIR HAVAL?MANI|2016|4|41.9
17227|AYDIN ?ILDIR HAVAL?MANI|2016|5|37.4
17227|AYDIN ?ILDIR HAVAL?MANI|2016|6|36.2
17227|AYDIN ?ILDIR HAVAL?MANI|2016|7|34.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|8|31.3
17227|AYDIN ?ILDIR HAVAL?MANI|2016|9|28.6
17227|AYDIN ?ILDIR HAVAL?MANI|2016|10|26.8
17227|AYDIN ?ILDIR HAVAL?MANI|2016|11|26.5
17227|AYDIN ?ILDIR HAVAL?MANI|2016|12|30.4
17227|AYDIN ?ILDIR HAVAL?MANI|2017|1|43.3
17227|AYDIN ?ILDIR HAVAL?MANI|2017|2|41.5
17227|AYDIN ?ILDIR HAVAL?MANI|2017|3|44.4
17227|AYDIN ?ILDIR HAVAL?MANI|2017|4|36.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|5|34.5
17227|AYDIN ?ILDIR HAVAL?MANI|2017|6|39.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|7|28.3
17227|AYDIN ?ILDIR HAVAL?MANI|2017|8|26.1
17227|AYDIN ?ILDIR HAVAL?MANI|2017|9|22.9
17227|AYDIN ?ILDIR HAVAL?MANI|2017|10|23.9
17227|AYDIN ?ILDIR HAVAL?MANI|2017|11|36.0
17237|DEN?ZL?|2007|12|19.5
17237|DEN?ZL?|2008|1|17.0
17237|DEN?ZL?|2008|2|17.5
17237|DEN?ZL?|2008|3|18.0
17237|DEN?ZL?|2008|4|17.7
17237|DEN?ZL?|2008|5|14.5
17237|DEN?ZL?|2008|6|11.3
17237|DEN?ZL?|2008|7|9.7
17237|DEN?ZL?|2008|8|10.0
17237|DEN?ZL?|2008|9|9.3
17237|DEN?ZL?|2008|10|11.6
17237|DEN?ZL?|2008|11|14.2
17237|DEN?ZL?|2008|12|16.8
17237|DEN?ZL?|2009|1|19.3
17237|DEN?ZL?|2009|2|20.7
17237|DEN?ZL?|2009|3|20.7
17237|DEN?ZL?|2009|4|19.7
17237|DEN?ZL?|2009|5|17.6
17237|DEN?ZL?|2009|8|9.0
17237|DEN?ZL?|2009|9|9.2
17237|DEN?ZL?|2009|10|9.0
17237|DEN?ZL?|2009|11|19.5
17237|DEN?ZL?|2009|12|20.2
17237|DEN?ZL?|2010|1|20.7
17237|DEN?ZL?|2010|2|21.5
17237|DEN?ZL?|2010|3|19.0
17237|DEN?ZL?|2010|4|15.4
17237|DEN?ZL?|2010|5|15.4
17237|DEN?ZL?|2010|6|16.4
17237|DEN?ZL?|2010|7|13.2
17237|DEN?ZL?|2010|8|11.4
17237|DEN?ZL?|2010|9|10.1
17237|DEN?ZL?|2010|10|14.7
17237|DEN?ZL?|2010|11|16.2
17237|DEN?ZL?|2010|12|18.9
17237|DEN?ZL?|2011|1|19.4
17237|DEN?ZL?|2011|2|19.5
17237|DEN?ZL?|2011|3|18.6
17237|DEN?ZL?|2011|4|17.1
17237|DEN?ZL?|2011|5|18.8
17237|DEN?ZL?|2011|6|14.1
17237|DEN?ZL?|2011|7|10.4
17237|DEN?ZL?|2011|8|9.3
17237|DEN?ZL?|2011|9|9.1
17237|DEN?ZL?|2011|10|15.5
17237|DEN?ZL?|2011|11|13.1
17237|DEN?ZL?|2011|12|16.4
17237|DEN?ZL?|2016|1|12.8
17237|DEN?ZL?|2016|2|11.5
17237|DEN?ZL?|2016|3|12.6
17237|DEN?ZL?|2016|4|9.3
17237|DEN?ZL?|2016|5|10.0
17237|DEN?ZL?|2016|6|7.8
17237|DEN?ZL?|2016|7|6.5
17237|DEN?ZL?|2016|8|6.2
17237|DEN?ZL?|2016|9|7.5
17237|DEN?ZL?|2016|10|7.0
17237|DEN?ZL?|2016|11|7.1
17237|DEN?ZL?|2016|12|11.5
17237|DEN?ZL?|2017|1|16.5
17237|DEN?ZL?|2017|2|12.0
17237|DEN?ZL?|2017|3|13.2
17237|DEN?ZL?|2017|4|12.2
17237|DEN?ZL?|2017|5|11.8
17237|DEN?ZL?|2017|6|9.1
17237|DEN?ZL?|2017|7|6.4
17237|DEN?ZL?|2017|8|7.4
17237|DEN?ZL?|2017|9|7.2
17237|DEN?ZL?|2017|10|10.0
17237|DEN?ZL?|2017|11|14.4
17237|DEN?ZL?|2017|12|16.5
17237|DEN?ZL?|2018|1|18.4
17237|DEN?ZL?|2018|2|17.1
17237|DEN?ZL?|2018|3|17.1
17237|DEN?ZL?|2018|4|13.3
17237|DEN?ZL?|2018|5|10.7
17237|DEN?ZL?|2018|6|15.5
17237|DEN?ZL?|2018|7|10.2
17237|DEN?ZL?|2018|8|9.7
