Istasyon_No|Istasyon_Adi|YIL|AY|GUNLUK_TOPLAM_GLOBAL_GUNESLENME_SIDDETI_AYLIK_ORTALAMASI
17186|MAN?SA|2007|1|145.5
17186|MAN?SA|2007|2|96.2
17186|MAN?SA|2007|3|58.2
17186|MAN?SA|2007|4|69.3
17186|MAN?SA|2007|5|87.7
17186|MAN?SA|2007|6|379.2
17186|MAN?SA|2007|7|292.5
17186|MAN?SA|2007|8|552.1
17186|MAN?SA|2007|9|298.3
17186|MAN?SA|2007|10|180.7
17186|MAN?SA|2007|11|148.8
17186|MAN?SA|2007|12|119.8
17186|MAN?SA|2008|1|147.7
17186|MAN?SA|2008|2|208.3
17186|MAN?SA|2008|3|333.5
17186|MAN?SA|2008|4|381.4
17186|MAN?SA|2008|5|565.9
17186|MAN?SA|2008|6|645.1
17186|MAN?SA|2008|7|639.2
17186|MAN?SA|2008|8|551.1
17186|MAN?SA|2008|9|423.9
17186|MAN?SA|2008|10|306.0
17186|MAN?SA|2008|11|176.4
17186|MAN?SA|2008|12|97.5
17186|MAN?SA|2009|1|134.6
17186|MAN?SA|2009|2|171.6
17186|MAN?SA|2009|3|300.8
17186|MAN?SA|2009|4|424.7
17186|MAN?SA|2009|5|580.8
17186|MAN?SA|2009|6|644.5
17186|MAN?SA|2009|7|602.0
17186|MAN?SA|2009|8|571.6
17186|MAN?SA|2009|9|416.6
17186|MAN?SA|2009|10|393.1
17186|MAN?SA|2010|7|0.0
17186|MAN?SA|2010|8|0.2
17186|MAN?SA|2010|9|0.0
17186|MAN?SA|2010|10|2.9
17186|MAN?SA|2010|11|28.8
17186|MAN?SA|2010|12|6.3
17186|MAN?SA|2011|1|67.2
17186|MAN?SA|2011|2|5.6
17186|MAN?SA|2011|3|0.0
17186|MAN?SA|2011|4|0.0
17186|MAN?SA|2011|5|0.0
17186|MAN?SA|2011|6|0.0
17186|MAN?SA|2019|12|83.8
17186|MAN?SA|2020|1|186.9
17186|MAN?SA|2020|2|247.5
17186|MAN?SA|2020|3|354.4
17186|MAN?SA|2020|4|492.6
17186|MAN?SA|2020|5|559.0
17186|MAN?SA|2020|6|609.5
17186|MAN?SA|2020|7|623.1
17186|MAN?SA|2020|8|528.4
17186|MAN?SA|2020|9|388.1
17186|MAN?SA|2020|11|130.7
17186|MAN?SA|2020|12|99.3
17186|MAN?SA|2021|1|107.5
17186|MAN?SA|2021|2|220.8
17186|MAN?SA|2021|3|300.1
17186|MAN?SA|2021|4|390.5
17186|MAN?SA|2021|5|555.0
17186|MAN?SA|2021|6|568.3
17227|AYDIN ?ILDIR HAVAL?MANI|2010|12|237.2
17227|AYDIN ?ILDIR HAVAL?MANI|2011|1|195.5
17227|AYDIN ?ILDIR HAVAL?MANI|2011|2|277.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|3|368.8
17227|AYDIN ?ILDIR HAVAL?MANI|2011|4|459.4
17227|AYDIN ?ILDIR HAVAL?MANI|2011|5|535.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|6|656.7
17227|AYDIN ?ILDIR HAVAL?MANI|2011|7|672.1
17227|AYDIN ?ILDIR HAVAL?MANI|2011|8|592.9
17227|AYDIN ?ILDIR HAVAL?MANI|2011|9|497.1
17227|AYDIN ?ILDIR HAVAL?MANI|2011|10|341.0
17227|AYDIN ?ILDIR HAVAL?MANI|2011|11|266.3
17227|AYDIN ?ILDIR HAVAL?MANI|2011|12|168.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|1|188.1
17227|AYDIN ?ILDIR HAVAL?MANI|2012|2|254.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|3|410.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|4|497.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|5|553.6
17227|AYDIN ?ILDIR HAVAL?MANI|2012|6|689.2
17227|AYDIN ?ILDIR HAVAL?MANI|2012|7|663.4
17227|AYDIN ?ILDIR HAVAL?MANI|2012|8|610.8
17227|AYDIN ?ILDIR HAVAL?MANI|2012|9|504.7
17227|AYDIN ?ILDIR HAVAL?MANI|2012|10|336.0
17227|AYDIN ?ILDIR HAVAL?MANI|2012|11|221.2
17227|AYDIN ?ILDIR HAVAL?MANI|2012|12|157.3
17227|AYDIN ?ILDIR HAVAL?MANI|2013|1|179.5
17227|AYDIN ?ILDIR HAVAL?MANI|2013|2|240.4
17227|AYDIN ?ILDIR HAVAL?MANI|2013|3|353.5
17227|AYDIN ?ILDIR HAVAL?MANI|2013|4|507.5
17227|AYDIN ?ILDIR HAVAL?MANI|2013|5|568.7
17227|AYDIN ?ILDIR HAVAL?MANI|2013|6|661.9
17227|AYDIN ?ILDIR HAVAL?MANI|2013|7|669.8
17227|AYDIN ?ILDIR HAVAL?MANI|2013|8|600.2
17227|AYDIN ?ILDIR HAVAL?MANI|2013|9|522.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|10|375.2
17227|AYDIN ?ILDIR HAVAL?MANI|2013|11|214.1
17227|AYDIN ?ILDIR HAVAL?MANI|2013|12|193.7
17227|AYDIN ?ILDIR HAVAL?MANI|2014|1|190.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|2|293.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|3|378.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|4|448.4
17227|AYDIN ?ILDIR HAVAL?MANI|2014|5|543.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|6|613.5
17227|AYDIN ?ILDIR HAVAL?MANI|2014|7|674.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|8|576.0
17227|AYDIN ?ILDIR HAVAL?MANI|2014|9|462.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|10|350.7
17227|AYDIN ?ILDIR HAVAL?MANI|2014|11|235.0
17227|AYDIN ?ILDIR HAVAL?MANI|2014|12|156.4
17227|AYDIN ?ILDIR HAVAL?MANI|2015|1|184.9
17227|AYDIN ?ILDIR HAVAL?MANI|2015|2|240.0
17227|AYDIN ?ILDIR HAVAL?MANI|2015|3|323.9
17227|AYDIN ?ILDIR HAVAL?MANI|2015|4|521.3
17227|AYDIN ?ILDIR HAVAL?MANI|2015|5|528.2
17227|AYDIN ?ILDIR HAVAL?MANI|2015|6|580.6
17227|AYDIN ?ILDIR HAVAL?MANI|2015|7|670.0
17227|AYDIN ?ILDIR HAVAL?MANI|2015|8|588.1
17227|AYDIN ?ILDIR HAVAL?MANI|2015|9|459.8
17227|AYDIN ?ILDIR HAVAL?MANI|2015|10|336.7
17227|AYDIN ?ILDIR HAVAL?MANI|2015|11|263.9
17227|AYDIN ?ILDIR HAVAL?MANI|2015|12|225.7
17227|AYDIN ?ILDIR HAVAL?MANI|2016|1|206.2
17227|AYDIN ?ILDIR HAVAL?MANI|2016|2|266.1
17227|AYDIN ?ILDIR HAVAL?MANI|2016|3|375.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|4|548.8
17227|AYDIN ?ILDIR HAVAL?MANI|2016|5|557.2
17227|AYDIN ?ILDIR HAVAL?MANI|2016|6|665.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|7|670.8
17227|AYDIN ?ILDIR HAVAL?MANI|2016|8|585.7
17227|AYDIN ?ILDIR HAVAL?MANI|2016|9|474.3
17227|AYDIN ?ILDIR HAVAL?MANI|2016|10|365.4
17227|AYDIN ?ILDIR HAVAL?MANI|2016|11|244.2
17227|AYDIN ?ILDIR HAVAL?MANI|2016|12|207.9
17227|AYDIN ?ILDIR HAVAL?MANI|2017|1|197.4
17227|AYDIN ?ILDIR HAVAL?MANI|2017|2|277.7
17227|AYDIN ?ILDIR HAVAL?MANI|2017|3|389.8
17227|AYDIN ?ILDIR HAVAL?MANI|2017|4|513.1
17227|AYDIN ?ILDIR HAVAL?MANI|2017|5|542.1
17227|AYDIN ?ILDIR HAVAL?MANI|2017|6|638.4
17227|AYDIN ?ILDIR HAVAL?MANI|2017|7|587.3
17227|AYDIN ?ILDIR HAVAL?MANI|2017|8|0.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|9|0.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|10|0.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|11|0.0
17237|DEN?ZL?|1983|12|140.6
17237|DEN?ZL?|1984|1|161.8
17237|DEN?ZL?|1984|2|216.6
17237|DEN?ZL?|1984|3|267.9
17237|DEN?ZL?|1984|4|355.7
17237|DEN?ZL?|1984|5|504.7
17237|DEN?ZL?|1984|6|535.7
17237|DEN?ZL?|1984|7|519.0
17237|DEN?ZL?|1984|8|474.2
17237|DEN?ZL?|1984|9|372.0
17237|DEN?ZL?|1984|10|278.5
17237|DEN?ZL?|1984|11|153.0
17237|DEN?ZL?|1984|12|137.3
17237|DEN?ZL?|1985|1|119.7
17237|DEN?ZL?|1985|2|198.6
17237|DEN?ZL?|1985|3|265.2
17237|DEN?ZL?|1985|4|367.4
17237|DEN?ZL?|1985|5|407.6
17237|DEN?ZL?|1985|6|501.9
17237|DEN?ZL?|1985|7|493.6
17237|DEN?ZL?|1985|8|436.9
17237|DEN?ZL?|1985|9|364.2
17237|DEN?ZL?|1985|10|240.3
17237|DEN?ZL?|1985|11|150.8
