Istasyon_No|Istasyon_Adi|YIL|AY|GUNLUK_TOPLAM_GUNESLENME_SURESI_AYLIK_ORTALAMASI
17186|MAN?SA|1964|6|11.0
17186|MAN?SA|1964|7|12.8
17186|MAN?SA|1964|8|11.7
17186|MAN?SA|1964|9|7.9
17186|MAN?SA|1964|10|8.1
17186|MAN?SA|1964|11|4.0
17186|MAN?SA|1964|12|2.6
17186|MAN?SA|1964|13|8.3
17186|MAN?SA|1965|1|3.0
17186|MAN?SA|1965|2|3.4
17186|MAN?SA|1965|3|4.3
17186|MAN?SA|1965|4|5.6
17186|MAN?SA|1965|5|8.9
17186|MAN?SA|1965|6|12.5
17186|MAN?SA|1965|7|12.6
17186|MAN?SA|1965|8|12.1
17186|MAN?SA|1965|9|10.0
17186|MAN?SA|1965|10|8.0
17186|MAN?SA|1965|11|4.7
17186|MAN?SA|1965|12|2.5
17186|MAN?SA|1965|13|7.3
17186|MAN?SA|1966|1|2.1
17186|MAN?SA|1966|2|5.1
17186|MAN?SA|1966|3|4.4
17186|MAN?SA|1966|4|6.4
17186|MAN?SA|1966|5|10.6
17186|MAN?SA|1966|6|11.2
17186|MAN?SA|1966|7|12.7
17186|MAN?SA|1966|8|11.6
17186|MAN?SA|1966|9|9.1
17186|MAN?SA|1966|10|7.1
17186|MAN?SA|1966|11|3.9
17186|MAN?SA|1966|12|3.3
17186|MAN?SA|1966|13|7.3
17186|MAN?SA|1967|1|3.7
17186|MAN?SA|1967|2|5.3
17186|MAN?SA|1967|3|6.7
17186|MAN?SA|1967|4|7.2
17186|MAN?SA|1967|5|9.1
17186|MAN?SA|1967|6|11.6
17186|MAN?SA|1967|7|12.4
17186|MAN?SA|1967|8|12.1
17186|MAN?SA|1967|9|9.7
17186|MAN?SA|1967|10|7.0
17186|MAN?SA|1967|11|4.9
17186|MAN?SA|1967|12|2.8
17186|MAN?SA|1967|13|7.7
17186|MAN?SA|1968|1|3.1
17186|MAN?SA|1968|2|4.6
17186|MAN?SA|1968|3|5.8
17186|MAN?SA|1968|4|7.7
17186|MAN?SA|1968|5|10.5
17186|MAN?SA|1968|6|10.3
17186|MAN?SA|1968|7|13.1
17186|MAN?SA|1968|8|11.3
17186|MAN?SA|1968|9|8.9
17186|MAN?SA|1968|10|6.1
17186|MAN?SA|1968|11|2.9
17186|MAN?SA|1968|12|2.1
17186|MAN?SA|1968|13|7.2
17186|MAN?SA|1969|1|2.3
17186|MAN?SA|1969|2|3.9
17186|MAN?SA|1969|3|3.8
17186|MAN?SA|1969|4|7.2
17186|MAN?SA|1969|5|10.5
17186|MAN?SA|1969|6|10.5
17186|MAN?SA|1969|7|11.8
17186|MAN?SA|1969|8|12.1
17186|MAN?SA|1969|9|9.8
17186|MAN?SA|1969|10|8.0
17186|MAN?SA|1969|11|6.5
17186|MAN?SA|1969|12|2.1
17186|MAN?SA|1969|13|7.4
17186|MAN?SA|1970|1|2.8
17186|MAN?SA|1970|2|4.8
17186|MAN?SA|1970|3|4.7
17186|MAN?SA|1970|4|7.4
17186|MAN?SA|1970|5|10.1
17186|MAN?SA|1970|6|12.3
17186|MAN?SA|1970|7|12.5
17186|MAN?SA|1970|8|12.0
17186|MAN?SA|1970|9|9.8
17186|MAN?SA|1970|10|6.9
17186|MAN?SA|1970|11|5.1
17186|MAN?SA|1970|12|2.4
17186|MAN?SA|1970|13|7.6
17186|MAN?SA|1971|1|3.1
17186|MAN?SA|1971|2|3.6
17186|MAN?SA|1971|3|4.4
17186|MAN?SA|1971|4|6.7
17186|MAN?SA|1971|5|9.3
17186|MAN?SA|1971|6|11.9
17186|MAN?SA|1971|7|11.8
17186|MAN?SA|1971|8|11.3
17186|MAN?SA|1971|9|10.2
17186|MAN?SA|1971|10|6.9
17186|MAN?SA|1971|11|4.6
17186|MAN?SA|1971|12|4.6
17186|MAN?SA|1971|13|7.4
17186|MAN?SA|1972|1|3.6
17186|MAN?SA|1972|2|4.6
17186|MAN?SA|1972|3|7.7
17186|MAN?SA|1972|4|6.6
17186|MAN?SA|1972|5|10.1
17186|MAN?SA|1972|6|11.2
17186|MAN?SA|1972|7|11.3
17186|MAN?SA|1972|8|11.4
17186|MAN?SA|1972|9|9.2
17186|MAN?SA|1972|10|4.6
17186|MAN?SA|1972|11|6.1
17186|MAN?SA|1972|12|5.4
17186|MAN?SA|1972|13|7.7
17186|MAN?SA|1973|1|2.8
17186|MAN?SA|1973|2|3.6
17186|MAN?SA|1973|3|5.3
17186|MAN?SA|1973|4|6.1
17186|MAN?SA|1973|5|11.0
17186|MAN?SA|1973|6|11.5
17186|MAN?SA|1973|7|12.6
17186|MAN?SA|1973|8|11.8
17186|MAN?SA|1973|9|10.3
17186|MAN?SA|1973|10|6.0
17186|MAN?SA|1973|11|4.8
17186|MAN?SA|1973|12|2.2
17186|MAN?SA|1973|13|7.4
17186|MAN?SA|1974|1|4.1
17186|MAN?SA|1974|2|3.6
17186|MAN?SA|1974|3|5.4
17186|MAN?SA|1974|4|6.2
17186|MAN?SA|1974|5|9.7
17186|MAN?SA|1974|6|11.6
17186|MAN?SA|1974|7|12.6
17186|MAN?SA|1974|8|10.5
17186|MAN?SA|1974|9|10.2
17186|MAN?SA|1974|10|7.2
17186|MAN?SA|1974|11|4.0
17186|MAN?SA|1974|12|3.5
17186|MAN?SA|1974|13|7.4
17186|MAN?SA|1975|1|4.1
17186|MAN?SA|1975|2|2.8
17186|MAN?SA|1975|3|5.6
17186|MAN?SA|1975|4|6.2
17186|MAN?SA|1975|5|7.9
17186|MAN?SA|1975|6|9.9
17186|MAN?SA|1975|7|12.4
17186|MAN?SA|1975|8|10.3
17186|MAN?SA|1975|9|9.7
17186|MAN?SA|1975|10|6.7
17186|MAN?SA|1975|11|4.0
17186|MAN?SA|1975|12|3.3
17186|MAN?SA|1975|13|6.9
17186|MAN?SA|1976|1|3.7
